NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAP4K4	MAP4K4	119	0.17175422608852386	0.015626073	No	
row_1	GK	GK	137	0.16514717042446136	0.035563175	No	
row_2	MAFF	MAFF	185	0.145217627286911	0.051478244	No	
row_3	PALLD	PALLD	200	0.1426258236169815	0.06873087	No	
row_4	ZYX	ZYX	226	0.13674253225326538	0.084688075	No	
row_5	NRP1	NRP1	349	0.11706002056598663	0.09327614	No	
row_6	SRPX	SRPX	522	0.09813445061445236	0.09696019	No	
row_7	CEBPG	CEBPG	692	0.08530749380588531	0.0991804	No	
row_8	HAMP	HAMP	777	0.08076509833335876	0.105114445	No	
row_9	DOCK4	DOCK4	807	0.07907330244779587	0.113608636	No	
row_10	NEK6	NEK6	809	0.07902419567108154	0.12350842	No	
row_11	RBM14	RBM14	839	0.07759177684783936	0.13181607	No	
row_12	PI4K2A	PI4K2A	857	0.07654205709695816	0.14059658	No	
row_13	WIPF1	WIPF1	889	0.07482372969388962	0.14845486	No	
row_14	CCL2	CCL2	972	0.07150837033987045	0.1533242	No	
row_15	ICAM1	ICAM1	1078	0.06757084280252457	0.15653808	No	
row_16	PLEC	PLEC	1081	0.06747961044311523	0.16493383	No	
row_17	CMTM6	CMTM6	1115	0.06640523672103882	0.17163125	No	
row_18	KLF9	KLF9	1210	0.06335606426000595	0.17486906	No	
row_19	ZEB2	ZEB2	1254	0.0620940662920475	0.18051943	No	
row_20	CNRIP1	CNRIP1	1291	0.06092800199985504	0.18637593	No	
row_21	SYMPK	SYMPK	1335	0.05961821973323822	0.19171457	No	
row_22	CPSF7	CPSF7	1612	0.05290713906288147	0.18446009	No	
row_23	SMC4	SMC4	1704	0.051054492592811584	0.18630023	No	
row_24	ETV5	ETV5	1715	0.0509389191865921	0.19220991	No	
row_25	S100A3	S100A3	1750	0.050208352506160736	0.19681752	No	
row_26	CLU	CLU	1805	0.0492379330098629	0.2002945	No	
row_27	PRDM1	PRDM1	1935	0.047185223549604416	0.19973144	No	
row_28	LAPTM4B	LAPTM4B	2005	0.045946359634399414	0.20203766	No	
row_29	LIF	LIF	2176	0.04321545362472534	0.1989075	No	
row_30	KRTCAP2	KRTCAP2	2243	0.04208650439977646	0.20087898	No	
row_31	PPARD	PPARD	2434	0.03969496488571167	0.19629711	No	
row_32	MAP2K3	MAP2K3	2455	0.0394086018204689	0.20025076	No	
row_33	TRIM46	TRIM46	2520	0.03866567835211754	0.20189235	No	
row_34	PPARGC1B	PPARGC1B	2654	0.03732435405254364	0.199886	No	
row_35	INPP5F	INPP5F	2718	0.03647853434085846	0.20130262	No	
row_36	NFIL3	NFIL3	2773	0.03578740358352661	0.20308599	No	
row_37	ARIH1	ARIH1	2778	0.03575729578733444	0.20738664	No	
row_38	CREBRF	CREBRF	2804	0.0354885533452034	0.2105946	No	
row_39	NT5C2	NT5C2	2933	0.0341036431491375	0.20843482	No	
row_40	GSK3A	GSK3A	2971	0.03374829143285751	0.2108186	No	
row_41	PHC1	PHC1	3064	0.03284839540719986	0.21031593	No	
row_42	BET1	BET1	3078	0.03274711221456528	0.21378376	No	
row_43	NR4A3	NR4A3	3168	0.031785961240530014	0.21329857	No	
row_44	MXD1	MXD1	3179	0.031686533242464066	0.21678412	No	
row_45	SDC1	SDC1	3188	0.03161349892616272	0.22036132	No	
row_46	POLR2M	POLR2M	3267	0.03085130825638771	0.22031307	No	
row_47	MECP2	MECP2	3332	0.030372677370905876	0.22091046	No	
row_48	KLF4	KLF4	3440	0.02939755842089653	0.21921696	No	
row_49	CREM	CREM	3446	0.029356524348258972	0.22266124	No	
row_50	XRCC1	XRCC1	3510	0.028801802545785904	0.22311126	No	
row_51	LCP2	LCP2	3555	0.028395220637321472	0.22446807	No	
row_52	PLPP6	PLPP6	3742	0.0269178356975317	0.21847908	No	
row_53	ENPP2	ENPP2	3756	0.02680782787501812	0.22119908	No	
row_54	ATP11C	ATP11C	3852	0.026079561561346054	0.21969284	No	
row_55	POLDIP3	POLDIP3	3951	0.02529994398355484	0.21793719	No	
row_56	DISP2	DISP2	3976	0.025098180398344994	0.21988729	No	
row_57	CEP41	CEP41	4016	0.024816293269395828	0.22104557	No	
row_58	DTX2	DTX2	4107	0.024156875908374786	0.21954936	No	
row_59	SMPD1	SMPD1	4342	0.02250470593571663	0.21058449	No	
row_60	GRB10	GRB10	4666	0.020446961745619774	0.19687305	No	
row_61	NDUFS2	NDUFS2	4966	0.018753880634903908	0.18415853	No	
row_62	BATF	BATF	5080	0.018132708966732025	0.18074411	No	
row_63	ZNF235	ZNF235	5264	0.01727614924311638	0.17369236	No	
row_64	TMUB2	TMUB2	5278	0.017196642234921455	0.17520218	No	
row_65	ZNF423	ZNF423	5457	0.016289353370666504	0.16827829	No	
row_66	FXYD1	FXYD1	5941	0.01434796117246151	0.14573154	No	
row_67	NDST1	NDST1	6091	0.013673118315637112	0.13994044	No	
row_68	PVALB	PVALB	6238	0.013099449686706066	0.13422836	No	
row_69	DIS3L	DIS3L	6390	0.012564035132527351	0.12819678	No	
row_70	PAN2	PAN2	6508	0.012125405482947826	0.12382427	No	
row_71	KCNN3	KCNN3	6781	0.011199570260941982	0.11151993	No	
row_72	TRIM25	TRIM25	6843	0.01098662056028843	0.109827615	No	
row_73	IRF4	IRF4	6845	0.010979830287396908	0.111159705	No	
row_74	BCL6	BCL6	6892	0.01083160936832428	0.11020418	No	
row_75	CHN2	CHN2	6916	0.010738014243543148	0.11039656	No	
row_76	APBB1	APBB1	7342	0.009341000579297543	0.090143785	No	
row_77	FRMD6	FRMD6	7520	0.008805221877992153	0.08232796	No	
row_78	NR4A2	NR4A2	7539	0.00874516274780035	0.08252152	No	
row_79	CLEC1B	CLEC1B	7928	0.0076766121201217175	0.06392475	No	
row_80	LAMA2	LAMA2	8025	0.007395431399345398	0.060015522	No	
row_81	PLSCR1	PLSCR1	8073	0.007275314070284367	0.058561794	No	
row_82	RAB11B	RAB11B	8198	0.006972143426537514	0.053187475	No	
row_83	HOMER2	HOMER2	8384	0.006446674931794405	0.044671312	No	
row_84	PLAGL1	PLAGL1	8393	0.006418140605092049	0.045076072	No	
row_85	SLAMF1	SLAMF1	8594	0.005896309856325388	0.035734296	No	
row_86	SLC38A5	SLC38A5	8604	0.00585926603525877	0.036018267	No	
row_87	APBA1	APBA1	8700	0.005565343890339136	0.031929024	No	
row_88	SCRG1	SCRG1	8888	0.005059128627181053	0.023137305	No	
row_89	DYNC2LI1	DYNC2LI1	8960	0.004869471769779921	0.020170545	No	
row_90	BCL9	BCL9	9021	0.00468571437522769	0.017735278	No	
row_91	AP1G2	AP1G2	9269	0.0041189189068973064	0.0057999156	No	
row_92	GMPPB	GMPPB	9542	0.0034483233466744423	-0.00748041	No	
row_93	CXCR5	CXCR5	9552	0.0034268395975232124	-0.0075027137	No	
row_94	TRIM15	TRIM15	9747	0.002969225635752082	-0.016910525	No	
row_95	TMEM60	TMEM60	9761	0.002923444611951709	-0.017197898	No	
row_96	CFAP65	CFAP65	9775	0.002889815950766206	-0.017489504	No	
row_97	ARID1A	ARID1A	9908	0.0025611042510718107	-0.0238226	No	
row_98	PSD	PSD	10029	0.0023203471209853888	-0.029580958	No	
row_99	TNS2	TNS2	10345	0.0015705039259046316	-0.04526583	No	
row_100	AUP1	AUP1	10619	0.0010389183880761266	-0.058899954	No	
row_101	MGAT4C	MGAT4C	10661	9.598681353963912E-4	-0.060846355	No	
row_102	CXCL11	CXCL11	10742	8.124805754050612E-4	-0.06477773	No	
row_103	WNT10A	WNT10A	11143	3.315066278446466E-4	-0.084904395	No	
row_104	PMCH	PMCH	11211	2.609818475320935E-4	-0.08824974	No	
row_105	LEP	LEP	11579	0.0	-0.10675426	No	
row_106	CORT	CORT	11589	0.0	-0.10720804	No	
row_107	FOXA3	FOXA3	11605	0.0	-0.10796436	No	
row_108	CLDN8	CLDN8	11660	0.0	-0.1106871	No	
row_109	NTF4	NTF4	11663	0.0	-0.110787936	No	
row_110	TNFSF11	TNFSF11	11705	0.0	-0.1128552	No	
row_111	CYP26A1	CYP26A1	11706	0.0	-0.1128552	No	
row_112	PCDH1	PCDH1	11768	0.0	-0.115930885	No	
row_113	MTTP	MTTP	12170	-2.2192607866600156E-4	-0.13612176	No	
row_114	BDNF	BDNF	12204	-2.4091337400022894E-4	-0.13775532	No	
row_115	OLFML3	OLFML3	12641	-5.460586398839951E-4	-0.15967013	No	
row_116	TSHZ2	TSHZ2	13143	-0.0011421835515648127	-0.18478724	No	
row_117	COQ8B	COQ8B	13228	-0.0013246485032141209	-0.18885581	No	
row_118	ADAMTS4	ADAMTS4	13270	-0.0014276480069383979	-0.19074331	No	
row_119	NRXN3	NRXN3	13340	-0.0015728895086795092	-0.19402432	No	
row_120	CSN1S1	CSN1S1	13489	-0.0018658583285287023	-0.2012517	No	
row_121	SDHAF2	SDHAF2	13570	-0.002074139891192317	-0.20502421	No	
row_122	ELL	ELL	13677	-0.0022876751609146595	-0.21008079	No	
row_123	PRR5L	PRR5L	13700	-0.0023339034523814917	-0.21089618	No	
row_124	BTK	BTK	13791	-0.0025431630201637745	-0.21511386	No	
row_125	C9orf24	C9orf24	13825	-0.0026283690240234137	-0.2164468	No	
row_126	OGG1	OGG1	13872	-0.0027602945920079947	-0.21841861	No	
row_127	MSX1	MSX1	13987	-0.0030273140873759985	-0.22378543	No	
row_128	SEC24C	SEC24C	14028	-0.003132440382614732	-0.22540785	No	
row_129	OSM	OSM	14154	-0.0035503313411027193	-0.23126344	No	
row_130	IFT80	IFT80	14197	-0.003649496240541339	-0.2329216	No	
row_131	EXPH5	EXPH5	14260	-0.0037843266036361456	-0.2355712	No	
row_132	DRC7	DRC7	14389	-0.004085151944309473	-0.24151072	No	
row_133	PTCHD4	PTCHD4	14503	-0.004426376894116402	-0.24665096	No	
row_134	ARHGEF39	ARHGEF39	14513	-0.004463080316781998	-0.24654278	No	
row_135	TRIM55	TRIM55	14695	-0.005025370977818966	-0.25503623	No	
row_136	CD40LG	CD40LG	14754	-0.005203370004892349	-0.25730547	No	
row_137	ADAMTSL3	ADAMTSL3	14979	-0.005902884993702173	-0.26785654	No	
row_138	NCALD	NCALD	15007	-0.006013105623424053	-0.26846075	No	
row_139	ITPKC	ITPKC	15131	-0.0064154076389968395	-0.27385476	No	
row_140	TMEM208	TMEM208	15313	-0.007083607837557793	-0.28208905	No	
row_141	TMLHE	TMLHE	15329	-0.007159050088375807	-0.28194395	No	
row_142	FUT8	FUT8	15548	-0.007974390871822834	-0.29193163	No	
row_143	ZNF582	ZNF582	15698	-0.008637093007564545	-0.29835683	No	
row_144	CCDC25	CCDC25	15985	-0.009822005406022072	-0.3115405	No	
row_145	CCL5	CCL5	16090	-0.010338978841900826	-0.3154825	No	
row_146	USP25	USP25	16190	-0.010776666924357414	-0.31911725	No	
row_147	ZNF112	ZNF112	16229	-0.010922231711447239	-0.31965798	No	
row_148	DGKA	DGKA	16495	-0.01226215623319149	-0.3314756	No	
row_149	NOB1	NOB1	16635	-0.01296384446322918	-0.33685178	No	
row_150	TSPAN31	TSPAN31	16803	-0.013957580551505089	-0.34351465	No	
row_151	ASXL1	ASXL1	16890	-0.014496653340756893	-0.34602553	No	
row_152	VASN	VASN	16897	-0.014553207904100418	-0.34449562	No	
row_153	ANK3	ANK3	16965	-0.014989868737757206	-0.3459864	No	
row_154	HNRNPR	HNRNPR	16983	-0.015082097612321377	-0.3449445	No	
row_155	PCOLCE	PCOLCE	17116	-0.015984229743480682	-0.34958744	No	
row_156	ZNF180	ZNF180	17482	-0.01877228356897831	-0.36562744	No	
row_157	MRPL24	MRPL24	17507	-0.01898978278040886	-0.36444646	No	
row_158	IRF9	IRF9	17645	-0.020474515855312347	-0.36877614	No	
row_159	TUT1	TUT1	17649	-0.020484283566474915	-0.36634815	No	
row_160	MAPK10	MAPK10	17671	-0.02080085314810276	-0.36478788	No	
row_161	BBS1	BBS1	17725	-0.02125544100999832	-0.36478385	No	
row_162	TMOD3	TMOD3	17852	-0.022586289793252945	-0.368293	No	
row_163	FST	FST	18232	-0.027642546221613884	-0.38392198	Yes	
row_164	IRF2	IRF2	18272	-0.02829054370522499	-0.38232625	Yes	
row_165	GPATCH4	GPATCH4	18297	-0.029043352231383324	-0.3798794	Yes	
row_166	TCEA2	TCEA2	18382	-0.03065275214612484	-0.38025516	Yes	
row_167	HTRA2	HTRA2	18444	-0.03166625276207924	-0.37934363	Yes	
row_168	TLR7	TLR7	18510	-0.03281716629862785	-0.37848887	Yes	
row_169	ZNF233	ZNF233	18582	-0.03408893197774887	-0.3777765	Yes	
row_170	LINC00656	LINC00656	18613	-0.03519359976053238	-0.37485778	Yes	
row_171	TSPAN6	TSPAN6	18659	-0.0361628383398056	-0.37257335	Yes	
row_172	RARA	RARA	18958	-0.045425672084093094	-0.3818791	Yes	
row_173	AP2M1	AP2M1	19053	-0.0487208254635334	-0.38048407	Yes	
row_174	SOCS2	SOCS2	19126	-0.05182954668998718	-0.37758833	Yes	
row_175	LAMA1	LAMA1	19136	-0.052257999777793884	-0.37146214	Yes	
row_176	IRF1	IRF1	19171	-0.05402453616261482	-0.36637405	Yes	
row_177	IRF8	IRF8	19254	-0.05806633085012436	-0.36319724	Yes	
row_178	CISH	CISH	19338	-0.06195896863937378	-0.3595807	Yes	
row_179	FOS	FOS	19362	-0.06389082968235016	-0.35269567	Yes	
row_180	IFT43	IFT43	19365	-0.06418252736330032	-0.34471506	Yes	
row_181	PROS1	PROS1	19385	-0.06601059436798096	-0.33736143	Yes	
row_182	DLX4	DLX4	19466	-0.07342638820409775	-0.33214974	Yes	
row_183	SYNPO	SYNPO	19498	-0.07594536989927292	-0.32415026	Yes	
row_184	ARF3	ARF3	19511	-0.07764409482479095	-0.31497887	Yes	
row_185	ATP5PD	ATP5PD	19520	-0.07829942554235458	-0.30552328	Yes	
row_186	VTN	VTN	19580	-0.08444786816835403	-0.297865	Yes	
row_187	AZI2	AZI2	19589	-0.08509770780801773	-0.2875534	Yes	
row_188	AKT1	AKT1	19634	-0.0922473818063736	-0.27815673	Yes	
row_189	ADAMTS6	ADAMTS6	19674	-0.09856369346380234	-0.26771265	Yes	
row_190	RRAS	RRAS	19708	-0.10385154187679291	-0.25630024	Yes	
row_191	CDH1	CDH1	19747	-0.11164288222789764	-0.2441589	Yes	
row_192	PRKAR2B	PRKAR2B	19757	-0.11322861164808273	-0.23035568	Yes	
row_193	NFKBIA	NFKBIA	19782	-0.1189255639910698	-0.21659145	Yes	
row_194	TSPAN4	TSPAN4	19798	-0.12210050225257874	-0.20197366	Yes	
row_195	SOD1	SOD1	19882	-0.15125273168087006	-0.18711385	Yes	
row_196	TMEM74B	TMEM74B	19893	-0.15575918555259705	-0.16800587	Yes	
row_197	EDEM2	EDEM2	19929	-0.17991682887077332	-0.14711665	Yes	
row_198	AGRP	AGRP	19942	-0.1896023154258728	-0.12384821	Yes	
row_199	LSAMP	LSAMP	19974	-0.22453702986240387	-0.097139016	Yes	
row_200	PDLIM1	PDLIM1	20005	-0.2889131009578705	-0.062273588	Yes	
row_201	SERPING1	SERPING1	20031	-0.5057871341705322	1.5131004E-4	Yes	
