NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NAP1L1	NAP1L1	162	0.15339303016662598	0.016349368	No	
row_1	SWAP70	SWAP70	445	0.10433784872293472	0.018806607	No	
row_2	DDIT3	DDIT3	532	0.09702527523040771	0.029978516	No	
row_3	EPHB2	EPHB2	566	0.09431322664022446	0.043389514	No	
row_4	LRP5	LRP5	612	0.09061969816684723	0.055605024	No	
row_5	SEL1L3	SEL1L3	769	0.08101776987314224	0.060688462	No	
row_6	CDK6	CDK6	838	0.07759899646043777	0.069662936	No	
row_7	EYA3	EYA3	873	0.07559140026569366	0.08003101	No	
row_8	PICALM	PICALM	887	0.07490863651037216	0.091348894	No	
row_9	PDCD10	PDCD10	908	0.07398239523172379	0.10216574	No	
row_10	IKZF2	IKZF2	918	0.07364008575677872	0.113482565	No	
row_11	RIOK3	RIOK3	944	0.0728049948811531	0.123859085	No	
row_12	CTDNEP1	CTDNEP1	961	0.07194454967975616	0.13455191	No	
row_13	ACLY	ACLY	1004	0.07021482288837433	0.14365718	No	
row_14	UBQLN4	UBQLN4	1092	0.06726312637329102	0.15002146	No	
row_15	PDIA6	PDIA6	1120	0.0661010816693306	0.15922558	No	
row_16	CDK19	CDK19	1192	0.06416873633861542	0.1659021	No	
row_17	TSKU	TSKU	1273	0.061469171196222305	0.17169325	No	
row_18	KCNJ2	KCNJ2	1283	0.06118364259600639	0.18101904	No	
row_19	KCTD15	KCTD15	1339	0.059418290853500366	0.18774304	No	
row_20	STRN4	STRN4	1888	0.047894079238176346	0.16776495	No	
row_21	ZADH2	ZADH2	2106	0.04424525797367096	0.16389465	No	
row_22	CBFA2T3	CBFA2T3	2127	0.04398021847009659	0.16991594	No	
row_23	HECTD1	HECTD1	2154	0.04346036911010742	0.1755516	No	
row_24	C17orf58	C17orf58	2263	0.04187728092074394	0.17679925	No	
row_25	HIVEP3	HIVEP3	2321	0.04108836129307747	0.18049254	No	
row_26	HRK	HRK	2422	0.03984437137842178	0.18181866	No	
row_27	HSD11B1	HSD11B1	2432	0.03972005099058151	0.1877137	No	
row_28	HAAO	HAAO	2486	0.03901635482907295	0.1912775	No	
row_29	RAB27A	RAB27A	2541	0.038425032049417496	0.19469637	No	
row_30	GTDC1	GTDC1	2656	0.03724565729498863	0.19490115	No	
row_31	FMNL3	FMNL3	2822	0.035257961601018906	0.19221649	No	
row_32	JADE1	JADE1	2997	0.03352700173854828	0.18880132	No	
row_33	NAA15	NAA15	3025	0.03324221074581146	0.19275326	No	
row_34	FGD4	FGD4	3036	0.03315984830260277	0.19754928	No	
row_35	PDGFB	PDGFB	3040	0.03310767933726311	0.20268995	No	
row_36	TFAP4	TFAP4	3058	0.0329168364405632	0.20709413	No	
row_37	NUFIP2	NUFIP2	3182	0.031668707728385925	0.20595367	No	
row_38	TP53INP2	TP53INP2	3441	0.02938987873494625	0.19764142	No	
row_39	PNMA1	PNMA1	3506	0.028854839503765106	0.19902632	No	
row_40	SORBS1	SORBS1	3612	0.027881694957613945	0.1981882	No	
row_41	NHLH1	NHLH1	3638	0.02767813205718994	0.20135163	No	
row_42	TNFAIP8	TNFAIP8	3740	0.026931844651699066	0.20056339	No	
row_43	INKA1	INKA1	3998	0.024939151480793953	0.19159016	No	
row_44	KLF8	KLF8	4117	0.024087291210889816	0.18949	No	
row_45	ZFP36L1	ZFP36L1	4277	0.022896602749824524	0.18513206	No	
row_46	BRD4	BRD4	4356	0.022419888526201248	0.18478242	No	
row_47	MOAP1	MOAP1	4452	0.021809669211506844	0.18347801	No	
row_48	BRPF1	BRPF1	4567	0.021054891869425774	0.18109486	No	
row_49	ZBTB20	ZBTB20	4575	0.020997868850827217	0.18409818	No	
row_50	TSPAN33	TSPAN33	4667	0.020445171743631363	0.18277736	No	
row_51	NDUFA4L2	NDUFA4L2	4701	0.020295634865760803	0.18435736	No	
row_52	ATP8A1	ATP8A1	4708	0.020260799676179886	0.1872933	No	
row_53	PRDM8	PRDM8	4712	0.020244736224412918	0.19037795	No	
