NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ADA	ADA	1340	0.05940171703696251	-0.00972623	No	
row_1	DNAJC6	DNAJC6	1664	0.051780492067337036	0.024047215	No	
row_2	ALDOA	ALDOA	2057	0.04517997056245804	0.048007134	No	
row_3	ANGPTL6	ANGPTL6	2885	0.03465690463781357	0.04007264	No	
row_4	GIT2	GIT2	3126	0.032258614897727966	0.059174433	No	
row_5	COG6	COG6	3831	0.02620908059179783	0.04924491	No	
row_6	CCPG1	CCPG1	3891	0.02579888515174389	0.071168296	No	
row_7	ANAPC5	ANAPC5	4167	0.02370043285191059	0.08026905	No	
row_8	MTO1	MTO1	4859	0.019338414072990417	0.06436535	No	
row_9	PAXBP1	PAXBP1	6482	0.01223508920520544	-0.004934493	No	
row_10	FEM1C	FEM1C	6940	0.010626188479363918	-0.017538423	No	
row_11	RND1	RND1	6952	0.010595675557851791	-0.007872887	No	
row_12	NLE1	NLE1	8877	0.005081647075712681	-0.099168755	No	
row_13	NOL6	NOL6	8950	0.004889179952442646	-0.09805482	No	
row_14	MTFMT	MTFMT	9230	0.004201063420623541	-0.10795379	No	
row_15	PIGB	PIGB	9737	0.0029948470182716846	-0.13036513	No	
row_16	RNF169	RNF169	10314	0.0016502757789567113	-0.15757263	No	
row_17	EXOSC2	EXOSC2	12395	-3.845996980089694E-4	-0.2611966	No	
row_18	C21orf62-AS1	C21orf62-AS1	12915	-7.869494147598743E-4	-0.2863866	No	
row_19	TTC1	TTC1	15060	-0.006181068252772093	-0.38762194	No	
row_20	ZNF607	ZNF607	15934	-0.00962008535861969	-0.42199484	No	
row_21	EVA1C	EVA1C	16341	-0.011524146422743797	-0.43118316	No	
row_22	CWC25	CWC25	16846	-0.014223860576748848	-0.44266838	No	
row_23	MED21	MED21	17154	-0.016269391402602196	-0.44233197	No	
row_24	LRRC8C	LRRC8C	18000	-0.024446330964565277	-0.46101063	Yes	
row_25	GPR180	GPR180	18190	-0.026995621621608734	-0.44443312	Yes	
row_26	RANBP3L	RANBP3L	18247	-0.027853600680828094	-0.42037877	Yes	
row_27	NCKAP1L	NCKAP1L	18418	-0.03120054118335247	-0.39879724	Yes	
row_28	IFI44L	IFI44L	18577	-0.033950380980968475	-0.3739646	Yes	
row_29	LRRC8C-DT	LRRC8C-DT	18893	-0.04318571835756302	-0.34807757	Yes	
row_30	FES	FES	19106	-0.05095479264855385	-0.30955046	Yes	
row_31	HMGN3	HMGN3	19724	-0.10741044580936432	-0.2368423	Yes	
row_32	KAT8	KAT8	19727	-0.10795306414365768	-0.13286252	Yes	
row_33	HEBP2	HEBP2	19886	-0.15367555618286133	0.007399641	Yes	
