NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GCLC	GCLC	193	0.14363376796245575	0.040864326	Yes	
row_1	ZMIZ1-AS1	ZMIZ1-AS1	212	0.13920415937900543	0.08894157	Yes	
row_2	SQSTM1	SQSTM1	383	0.11290799826383591	0.12014775	Yes	
row_3	MARVELD1	MARVELD1	421	0.10742541402578354	0.1560912	Yes	
row_4	ZMIZ1	ZMIZ1	438	0.10499835014343262	0.19223326	Yes	
row_5	PTEN	PTEN	517	0.09833597391843796	0.22292353	Yes	
row_6	CITED2	CITED2	629	0.08917524665594101	0.2487365	Yes	
row_7	SMARCD2	SMARCD2	641	0.08826330304145813	0.2792409	Yes	
row_8	KDSR	KDSR	1099	0.06700240075588226	0.2799098	Yes	
row_9	MNT	MNT	1170	0.0645490363240242	0.299113	Yes	
row_10	IGF1R	IGF1R	1181	0.06437194347381592	0.32126126	Yes	
row_11	UBC	UBC	1256	0.06198698282241821	0.3393625	Yes	
row_12	DICER1	DICER1	1511	0.055279430001974106	0.34608155	Yes	
row_13	INO80C	INO80C	1522	0.05501317232847214	0.3649369	Yes	
row_14	ITGB1BP1	ITGB1BP1	1535	0.05464137718081474	0.38356116	Yes	
row_15	E2F6	E2F6	1608	0.05301805958151817	0.39860693	Yes	
row_16	SPRED2	SPRED2	1725	0.05077988654375076	0.41065976	Yes	
row_17	TMEM121B	TMEM121B	1757	0.05008424073457718	0.42672825	Yes	
row_18	WWP1	WWP1	1974	0.046430833637714386	0.43223858	Yes	
row_19	NSFL1C	NSFL1C	2028	0.04553598910570145	0.44560406	Yes	
row_20	CPSF3	CPSF3	2062	0.04508141800761223	0.45981205	Yes	
row_21	SCAMP1	SCAMP1	2141	0.04383847117424011	0.4713272	Yes	
row_22	HNRNPA2B1	HNRNPA2B1	2156	0.043456029146909714	0.4859156	Yes	
row_23	MEMO1	MEMO1	2209	0.042588744312524796	0.49829423	Yes	
row_24	FOXK1	FOXK1	2344	0.04078654199838638	0.50592864	Yes	
row_25	GMPS	GMPS	2355	0.04067063331604004	0.51973754	Yes	
row_26	KANSL3	KANSL3	2442	0.039582349359989166	0.52935416	Yes	
row_27	INTS10	INTS10	2833	0.03518225997686386	0.52218527	Yes	
row_28	DAGLA	DAGLA	3004	0.03342706710100174	0.5254258	Yes	
row_29	ST20	ST20	3305	0.03055039793252945	0.5211382	Yes	
row_30	ACOX2	ACOX2	3306	0.030546527355909348	0.5318861	Yes	
row_31	SSBP2	SSBP2	3349	0.030181195586919785	0.5404003	Yes	
row_32	ATP11A	ATP11A	3410	0.029692618176341057	0.5478404	Yes	
row_33	EPS15	EPS15	3433	0.029475755989551544	0.5571088	Yes	
row_34	CBX3	CBX3	3592	0.028040727600455284	0.5590557	Yes	
row_35	XPO7	XPO7	4387	0.022231975570321083	0.52708054	No	
row_36	GPR137	GPR137	4571	0.021014556288719177	0.5253021	No	
row_37	WDTC1	WDTC1	4674	0.02040758915245533	0.5273701	No	
row_38	MED23	MED23	4739	0.02010730281472206	0.531237	No	
row_39	PPP6R1	PPP6R1	4776	0.019886929541826248	0.5364299	No	
row_40	PLEKHA8	PLEKHA8	4868	0.01925932988524437	0.5386452	No	
row_41	ZNF521	ZNF521	4915	0.019010014832019806	0.5430283	No	
row_42	TAF2	TAF2	4986	0.0186449084430933	0.54607993	No	
row_43	PDE8A	PDE8A	5435	0.016382645815610886	0.5293892	No	
row_44	CDYL	CDYL	5546	0.01592913642525673	0.52948046	No	
row_45	INKA2	INKA2	5662	0.015493929386138916	0.5291679	No	
row_46	FUT10	FUT10	6586	0.011859612539410591	0.4870774	No	
row_47	CENPU	CENPU	6873	0.010879471898078918	0.47657025	No	
row_48	MFAP3L	MFAP3L	7403	0.009130227379500866	0.45326778	No	
row_49	CAPS2	CAPS2	7407	0.009124436415731907	0.4563279	No	
row_50	SGMS1	SGMS1	7453	0.00900038331747055	0.45723918	No	
row_51	EPC2	EPC2	7717	0.008236239664256573	0.44695485	No	
row_52	VPS36	VPS36	9359	0.0038755983114242554	0.36606696	No	
