NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SGK1	SGK1	16	0.32583528757095337	0.01860689	Yes	
row_1	CDKN1A	CDKN1A	17	0.3186032176017761	0.03759774	Yes	
row_2	PABPC1	PABPC1	48	0.2258893996477127	0.049534038	Yes	
row_3	RPS8	RPS8	51	0.22079835832118988	0.06259319	Yes	
row_4	ACTG1	ACTG1	52	0.220248281955719	0.07572144	Yes	
row_5	RPS26	RPS26	61	0.21281926333904266	0.08799935	Yes	
row_6	ACTB	ACTB	69	0.20709221065044403	0.09998683	Yes	
row_7	PRDX1	PRDX1	71	0.20691238343715668	0.11226923	Yes	
row_8	NEAT1	NEAT1	75	0.19888614118099213	0.123971336	Yes	
row_9	TOB1	TOB1	113	0.17564712464809418	0.13255629	Yes	
row_10	EIF1	EIF1	134	0.16562707722187042	0.14140995	Yes	
row_11	KLF6	KLF6	157	0.1554323136806488	0.14955407	Yes	
row_12	HNRNPA1	HNRNPA1	169	0.14982660114765167	0.15792438	Yes	
row_13	TPI1	TPI1	183	0.14541293680667877	0.16592973	Yes	
row_14	CALR	CALR	198	0.14295247197151184	0.17373748	Yes	
row_15	CALM2	CALM2	201	0.14244018495082855	0.18212597	Yes	
row_16	ODC1	ODC1	213	0.13900545239448547	0.18985128	Yes	
row_17	IFRD1	IFRD1	265	0.12842485308647156	0.1949083	Yes	
row_18	NPM1	NPM1	267	0.12804928421974182	0.20248996	Yes	
row_19	EEF2	EEF2	288	0.12483912706375122	0.20891239	Yes	
row_20	RPS3A	RPS3A	293	0.12405350059270859	0.21610303	Yes	
row_21	HERPUD1	HERPUD1	359	0.11583947390317917	0.21969675	Yes	
row_22	RPL12	RPL12	363	0.1153448224067688	0.22641923	Yes	
row_23	SQSTM1	SQSTM1	383	0.11290799826383591	0.23218143	Yes	
row_24	ATF3	ATF3	424	0.1071043387055397	0.23652796	Yes	
row_25	MYC	MYC	477	0.10149788111448288	0.23992904	Yes	
row_26	AZIN1	AZIN1	481	0.10072232782840729	0.24577993	Yes	
row_27	PABPC4	PABPC4	494	0.09953978657722473	0.25110188	Yes	
row_28	CCNI	CCNI	510	0.09872452914714813	0.2562224	Yes	
row_29	UBE2D3	UBE2D3	512	0.09861620515584946	0.26204965	Yes	
row_30	DDIT3	DDIT3	532	0.09702527523040771	0.26686513	Yes	
row_31	ID2	ID2	539	0.09624046832323074	0.27229607	Yes	
row_32	SFXN3	SFXN3	540	0.09601003676652908	0.2780189	Yes	
row_33	SDC4	SDC4	544	0.09575626254081726	0.28357378	Yes	
row_34	SLC25A6	SLC25A6	578	0.09318381547927856	0.28744712	Yes	
row_35	RPS9	RPS9	634	0.08861605077981949	0.28992754	Yes	
row_36	RPL36	RPL36	644	0.08812446147203445	0.29472187	Yes	
row_37	G3BP1	G3BP1	655	0.0872800201177597	0.29941493	Yes	
row_38	ATF4	ATF4	698	0.0851021483540535	0.3023481	Yes	
row_39	CCNG2	CCNG2	703	0.08486327528953552	0.30720276	Yes	
row_40	MAT2A	MAT2A	718	0.0837862566113472	0.31148383	Yes	
row_41	RPS24	RPS24	721	0.08355138450860977	0.31636214	Yes	
row_42	RPS27	RPS27	784	0.079885333776474	0.31796557	Yes	
row_43	RPL4	RPL4	805	0.0791330337524414	0.32166362	Yes	
row_44	SAV1	SAV1	830	0.07800423353910446	0.32509065	Yes	
row_45	RBBP4	RBBP4	844	0.07741940766572952	0.32904312	Yes	
row_46	RPS5	RPS5	896	0.07456790655851364	0.33088994	Yes	
row_47	EEF1A1	EEF1A1	1021	0.06978526711463928	0.32873306	Yes	
row_48	IMPACT	IMPACT	1114	0.06640658527612686	0.32800487	Yes	
row_49	RPL38	RPL38	1217	0.06311434507369995	0.32657102	Yes	
row_50	SOCS3	SOCS3	1223	0.06289687752723694	0.3300654	Yes	
row_51	UBC	UBC	1256	0.06198698282241821	0.33213016	Yes	
row_52	RPSA	RPSA	1261	0.06181573122739792	0.33561102	Yes	
row_53	HSP90AA1	HSP90AA1	1270	0.061538275331258774	0.3388716	Yes	
row_54	MCL1	MCL1	1272	0.06150023266673088	0.34248647	Yes	
row_55	RPL13	RPL13	1280	0.06127578765153885	0.34578234	Yes	
row_56	SNHG12	SNHG12	1295	0.060734622180461884	0.34868935	Yes	
row_57	NRIP3	NRIP3	1312	0.0602310448884964	0.35146448	Yes	
row_58	RPL28	RPL28	1352	0.05909810587763786	0.35300046	Yes	
row_59	UQCRC2	UQCRC2	1366	0.05881810933351517	0.3558442	Yes	
row_60	NPL	NPL	1380	0.05855068936944008	0.358672	Yes	
row_61	CTNNB1	CTNNB1	1408	0.057826779782772064	0.36074346	Yes	
row_62	RPL10	RPL10	1415	0.05766754969954491	0.36387518	Yes	
row_63	NEU3	NEU3	1431	0.05727281793951988	0.36652493	Yes	
row_64	VDAC2	VDAC2	1449	0.05688327178359032	0.36904958	Yes	
row_65	BRD2	BRD2	1453	0.05684825778007507	0.37228528	Yes	
row_66	NDUFS7	NDUFS7	1477	0.05614332854747772	0.37446016	Yes	
row_67	TMSB10	TMSB10	1517	0.055160339921712875	0.37576145	Yes	
row_68	GTF3C6	GTF3C6	1525	0.05491948127746582	0.3786784	Yes	
row_69	PIEZO1	PIEZO1	1541	0.05440591275691986	0.38115728	Yes	
row_70	MIDN	MIDN	1555	0.05405191332101822	0.3837169	Yes	
row_71	PACSIN2	PACSIN2	1584	0.05352924019098282	0.3854813	Yes	
row_72	SRSF3	SRSF3	1611	0.052912332117557526	0.38731077	Yes	
row_73	MALAT1	MALAT1	1640	0.052156295627355576	0.38899332	Yes	
row_74	PTPN7	PTPN7	1657	0.05189282447099686	0.39127144	Yes	
row_75	BAIAP2	BAIAP2	1667	0.05175600200891495	0.39389798	Yes	
row_76	TFRC	TFRC	1688	0.051333602517843246	0.395939	Yes	
row_77	RPL3	RPL3	1690	0.05131318047642708	0.39894667	Yes	
row_78	SFPQ	SFPQ	1699	0.05115896835923195	0.40158856	Yes	
row_79	SRSF2	SRSF2	1711	0.050971612334251404	0.40406647	Yes	
row_80	IER5	IER5	1745	0.05031765252351761	0.40538472	Yes	
row_81	JARID2	JARID2	1763	0.05001453682780266	0.40749994	Yes	
row_82	RPL22L1	RPL22L1	1766	0.04996094852685928	0.41037604	Yes	
row_83	RPL35	RPL35	1832	0.048827603459358215	0.4099754	Yes	
row_84	BTBD1	BTBD1	1860	0.04838211089372635	0.4114839	Yes	
row_85	C12orf57	C12orf57	1900	0.04774487763643265	0.41234317	Yes	
row_86	ALG3	ALG3	1924	0.04736727103590965	0.41399497	Yes	
row_87	PSMC3	PSMC3	1984	0.04627525806427002	0.41374782	Yes	
row_88	COX20	COX20	2044	0.04537809267640114	0.4134472	Yes	
row_89	EEF1D	EEF1D	2051	0.04526275023818016	0.41583952	Yes	
row_90	CIRBP	CIRBP	2131	0.04394356533885002	0.4144346	Yes	
row_91	BRWD1	BRWD1	2136	0.04386400803923607	0.4168454	Yes	
row_92	CEBPA	CEBPA	2173	0.043226730078458786	0.41758817	Yes	
row_93	UBIAD1	UBIAD1	2241	0.042097318917512894	0.4166845	Yes	
row_94	PLXNA3	PLXNA3	2255	0.04197746887803078	0.4185244	Yes	
row_95	JUND	JUND	2266	0.04178369790315628	0.42050558	Yes	
row_96	SS18	SS18	2353	0.040671318769454956	0.41854906	Yes	
row_97	DEPP1	DEPP1	2361	0.04056640341877937	0.4206105	Yes	
row_98	MRPL39	MRPL39	2403	0.04009019210934639	0.4209116	Yes	
row_99	MRPL30	MRPL30	2406	0.04008122906088829	0.42319882	Yes	
row_100	RPL18	RPL18	2433	0.03970988094806671	0.42424136	Yes	
row_101	SPTAN1	SPTAN1	2443	0.03957350552082062	0.42614174	Yes	
row_102	HSP90AB1	HSP90AB1	2445	0.03955736756324768	0.42844868	Yes	
row_103	TRAF7	TRAF7	2495	0.0389353409409523	0.42827344	Yes	
row_104	NOSIP	NOSIP	2522	0.038658689707517624	0.4292533	Yes	
row_105	KMT5B	KMT5B	2534	0.038486503064632416	0.43098703	Yes	
row_106	MFSD11	MFSD11	2569	0.03816530853509903	0.43152997	Yes	
row_107	RPS6	RPS6	2570	0.03816451504826546	0.4338048	Yes	
row_108	FUS	FUS	2571	0.03816063329577446	0.43607944	Yes	
row_109	CYCS	CYCS	2610	0.03773782402276993	0.43639317	Yes	
row_110	TUBA1C	TUBA1C	2641	0.03749522939324379	0.43709993	Yes	
row_111	DDX5	DDX5	2652	0.03736346587538719	0.43881765	Yes	
row_112	HOMER1	HOMER1	2672	0.03705357015132904	0.4400584	Yes	
row_113	ITGB3BP	ITGB3BP	2708	0.036630772054195404	0.44045895	Yes	
row_114	MAG	MAG	2713	0.0365157425403595	0.44243178	Yes	
row_115	COX16	COX16	2813	0.03539586812257767	0.43949854	Yes	
row_116	ZDHHC6	ZDHHC6	2856	0.03491605445742607	0.4394403	Yes	
row_117	WSB1	WSB1	2895	0.034536492079496384	0.43956318	Yes	
row_118	TANK	TANK	2932	0.0341053269803524	0.43976226	Yes	
row_119	MRPL13	MRPL13	2957	0.03382660821080208	0.440556	Yes	
row_120	RPS12	RPS12	2975	0.03370184451341629	0.44169888	Yes	
row_121	TNPO3	TNPO3	2983	0.03363639488816261	0.44334725	Yes	
row_122	NUP62	NUP62	2992	0.033567532896995544	0.44494057	Yes	
row_123	MTF2	MTF2	3011	0.033359408378601074	0.4460121	Yes	
row_124	PLEKHM3	PLEKHM3	3021	0.03328487649559975	0.44753763	Yes	
row_125	SAR1B	SAR1B	3024	0.0332472026348114	0.4494175	Yes	
row_126	RIN3	RIN3	3049	0.03298943489789963	0.45016134	Yes	
row_127	DNAJB4	DNAJB4	3086	0.032680630683898926	0.45027548	Yes	
row_128	IPPK	IPPK	3092	0.03264522925019264	0.45196664	Yes	
row_129	HSPA1B	HSPA1B	3105	0.03251143544912338	0.45329326	Yes	
row_130	SRSF6	SRSF6	3187	0.0316329188644886	0.45105267	Yes	
row_131	RPLP1	RPLP1	3196	0.031558070331811905	0.45252624	Yes	
row_132	MPLKIP	MPLKIP	3206	0.031444091349840164	0.45394203	Yes	
row_133	ZC3H12A	ZC3H12A	3212	0.031389109790325165	0.45555833	Yes	
row_134	SLC16A1	SLC16A1	3214	0.03138425573706627	0.45737812	Yes	
row_135	COPS7B	COPS7B	3225	0.031284213066101074	0.45873347	Yes	
row_136	UAP1	UAP1	3256	0.030931027606129646	0.45904896	Yes	
row_137	VTI1A	VTI1A	3257	0.03092898055911064	0.46089253	Yes	
row_138	DIP2A	DIP2A	3275	0.030776508152484894	0.46186104	Yes	
row_139	EIF4A2	EIF4A2	3326	0.030394917353987694	0.46112576	Yes	
