NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EIF1	EIF1	134	0.16562707722187042	0.013460783	No	
row_1	IQGAP2	IQGAP2	225	0.13700450956821442	0.025649	No	
row_2	MFSD1	MFSD1	342	0.11789874732494354	0.034188744	No	
row_3	CHKA	CHKA	442	0.10447324812412262	0.041947667	No	
row_4	WSB2	WSB2	467	0.10227985680103302	0.053229947	No	
row_5	TPST2	TPST2	499	0.09915456920862198	0.06377655	No	
row_6	TRAM1	TRAM1	647	0.08786635845899582	0.06708016	No	
row_7	NABP1	NABP1	679	0.08593150973320007	0.076011315	No	
row_8	CELSR1	CELSR1	779	0.0804997906088829	0.08084141	No	
row_9	CCNL1	CCNL1	834	0.07786454260349274	0.08762434	No	
row_10	SREBF2	SREBF2	884	0.07499270141124725	0.09430918	No	
row_11	GGA1	GGA1	946	0.07273542135953903	0.10011164	No	
row_12	SARDH	SARDH	1014	0.06991686671972275	0.10526645	No	
row_13	MVD	MVD	1036	0.0691368505358696	0.11265131	No	
row_14	NTAN1	NTAN1	1067	0.06798282265663147	0.11944022	No	
row_15	ICAM1	ICAM1	1078	0.06757084280252457	0.12718983	No	
row_16	MLH3	MLH3	1080	0.06749264150857925	0.13538483	No	
row_17	PLEC	PLEC	1081	0.06747961044311523	0.1436288	No	
row_18	HPS1	HPS1	1093	0.06718664616346359	0.15128091	No	
row_19	SLC35E3	SLC35E3	1131	0.06583188474178314	0.1574532	No	
row_20	MNT	MNT	1170	0.0645490363240242	0.16341819	No	
row_21	UBC	UBC	1256	0.06198698282241821	0.1666943	No	
row_22	SLC43A3	SLC43A3	1306	0.06055399030447006	0.17161517	No	
row_23	IBTK	IBTK	1321	0.05990001559257507	0.17822541	No	
row_24	MPC1	MPC1	1389	0.05829131603240967	0.18195994	No	
row_25	PTP4A2	PTP4A2	1411	0.057727035135030746	0.18795086	No	
row_26	DCAF11	DCAF11	1437	0.05720234662294388	0.19367549	No	
row_27	ITGB1BP1	ITGB1BP1	1535	0.05464137718081474	0.19544756	No	
row_28	MBD4	MBD4	1645	0.05212030187249184	0.19630502	No	
row_29	NDRG2	NDRG2	1693	0.051259543746709824	0.2001915	No	
row_30	TCP1	TCP1	1718	0.05090560019016266	0.2051974	No	
row_31	PHYH	PHYH	1737	0.05055734142661095	0.21046405	No	
row_32	EPDR1	EPDR1	1933	0.04721915349364281	0.20637536	No	
row_33	AL162231.1	AL162231.1	1991	0.04621985927224159	0.20914061	No	
row_34	NQO2	NQO2	2025	0.04560612142086029	0.21304412	No	
row_35	MPRIP	MPRIP	2165	0.04329030588269234	0.2113063	No	
row_36	TBC1D17	TBC1D17	2206	0.04262678325176239	0.21449196	No	
row_37	MROH7	MROH7	2234	0.042200058698654175	0.21828265	No	
row_38	MYLPF	MYLPF	2273	0.0416695699095726	0.22145247	No	
row_39	NFYC	NFYC	2358	0.040591008961200714	0.22216518	No	
