NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL6A1	COL6A1	626	0.08928858488798141	0.02197555	No	
row_1	RPL38	RPL38	1217	0.06311434507369995	0.030126411	No	
row_2	ZBTB21	ZBTB21	2107	0.04423942789435387	0.012043647	No	
row_3	HES4	HES4	2436	0.03966733068227768	0.019309336	No	
row_4	VCAN	VCAN	2473	0.039142198860645294	0.040876124	No	
row_5	CREB1	CREB1	2519	0.0386665016412735	0.061708465	No	
row_6	CRYBB2	CRYBB2	2646	0.037410009652376175	0.0777366	No	
row_7	AHDC1	AHDC1	2716	0.03649459406733513	0.09607108	No	
row_8	HECA	HECA	2790	0.035684309899806976	0.113721594	No	
row_9	RHBDD1	RHBDD1	2930	0.034116584807634354	0.12713285	No	
row_10	LOXL3	LOXL3	3353	0.030138516798615456	0.12400496	No	
row_11	NSUN4	NSUN4	3598	0.027980592101812363	0.12849766	No	
row_12	BRAF	BRAF	3797	0.026472706347703934	0.13439243	No	
row_13	RALGAPA1	RALGAPA1	4011	0.02484581246972084	0.13856517	No	
row_14	CSNK2A1	CSNK2A1	4259	0.022986799478530884	0.13992633	No	
row_15	VPS37B	VPS37B	4266	0.02296183817088604	0.15333466	No	
row_16	RFX1	RFX1	4296	0.022783705964684486	0.16548549	No	
row_17	DNAJB2	DNAJB2	4738	0.020107565447688103	0.155418	No	
row_18	PDE4A	PDE4A	4898	0.019142530858516693	0.15888846	No	
row_19	PML	PML	5282	0.017168832942843437	0.1499694	No	
row_20	ISG20L2	ISG20L2	5889	0.01456408854573965	0.12833409	No	
row_21	FBXO34	FBXO34	5949	0.014311262406408787	0.13392521	No	
row_22	TMEM259	TMEM259	6161	0.013379138894379139	0.13135225	No	
row_23	TMEM241	TMEM241	6179	0.013332688249647617	0.13846125	No	
row_24	LINC02453	LINC02453	6887	0.01085011288523674	0.10955357	No	
row_25	EMD	EMD	7148	0.009965922683477402	0.10249039	No	
row_26	FAM53C	FAM53C	7909	0.007714142557233572	0.06905783	No	
row_27	NUDT18	NUDT18	8108	0.007190937176346779	0.06344104	No	
row_28	PRMT5-AS1	PRMT5-AS1	8889	0.005053705535829067	0.027419152	No	
row_29	C12orf66	C12orf66	9914	0.0025458938907831907	-0.022312155	No	
row_30	SPAG4	SPAG4	13035	-9.601187775842845E-4	-0.1778951	No	
row_31	ZNF580	ZNF580	13091	-0.0010430527618154883	-0.18002513	No	
row_32	FAM71E1	FAM71E1	14227	-0.0037170592695474625	-0.2346128	No	
row_33	RBKS	RBKS	14323	-0.0039228578098118305	-0.23702553	No	
row_34	STOML1	STOML1	15111	-0.006341643165796995	-0.27262884	No	
row_35	RRNAD1	RRNAD1	16328	-0.011450203135609627	-0.32665372	No	
row_36	JOSD2	JOSD2	16544	-0.012454324401915073	-0.32997903	Yes	
row_37	STAP2	STAP2	16590	-0.012696303427219391	-0.32465136	Yes	
row_38	CDC14B	CDC14B	16703	-0.013394061475992203	-0.32226047	Yes	
row_39	EMC10	EMC10	16794	-0.013912983238697052	-0.31845868	Yes	
row_40	DXO	DXO	16797	-0.013931340537965298	-0.31024152	Yes	
row_41	TSPAN31	TSPAN31	16803	-0.013957580551505089	-0.30215886	Yes	
row_42	CAPN1	CAPN1	17095	-0.015820173546671867	-0.30727848	Yes	
row_43	ZNF581	ZNF581	17243	-0.01689308136701584	-0.30455038	Yes	
row_44	IFT46	IFT46	17330	-0.017398737370967865	-0.2984673	Yes	
row_45	ISG15	ISG15	17636	-0.020425500348210335	-0.3015382	Yes	
row_46	PPFIA3	PPFIA3	17808	-0.02207729034125805	-0.29691622	Yes	
row_47	DOK1	DOK1	18440	-0.031583115458488464	-0.3096421	Yes	
row_48	STK19	STK19	18484	-0.03232446312904358	-0.292496	Yes	
row_49	C16orf91	C16orf91	18564	-0.03362775966525078	-0.27637357	Yes	
row_50	TP53BP1	TP53BP1	18742	-0.038617461919784546	-0.2621771	Yes	
row_51	CSNK1G2	CSNK1G2	18852	-0.04195009544491768	-0.24258761	Yes	
row_52	CCDC106	CCDC106	19705	-0.10339406132698059	-0.22350214	Yes	
row_53	ACSM3	ACSM3	19949	-0.19492681324481964	-0.119289525	Yes	
row_54	MSRB2	MSRB2	19961	-0.2068508118391037	0.0036535608	Yes	
