NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SGK1	SGK1	16	0.32583528757095337	0.045271844	No	
row_1	GHITM	GHITM	163	0.15308557450771332	0.05954266	No	
row_2	CANX	CANX	358	0.11597370356321335	0.06613906	No	
row_3	WDR1	WDR1	543	0.09578238427639008	0.07038535	No	
row_4	UBQLN1	UBQLN1	574	0.09357348084449768	0.082102545	No	
row_5	SMARCD2	SMARCD2	641	0.08826330304145813	0.09124928	No	
row_6	LNPK	LNPK	656	0.08725716918706894	0.102881856	No	
row_7	UBA2	UBA2	699	0.08500487357378006	0.11278076	No	
row_8	PKM	PKM	761	0.08147107064723969	0.12121963	No	
row_9	SEL1L3	SEL1L3	769	0.08101776987314224	0.1323236	No	
row_10	GNB1	GNB1	947	0.07268861681222916	0.1336577	No	
row_11	ACLY	ACLY	1004	0.07021482288837433	0.14075737	No	
row_12	CTBP1	CTBP1	1195	0.06397711485624313	0.14020243	No	
row_13	RPL38	RPL38	1217	0.06311434507369995	0.14806688	No	
row_14	EPB41L2	EPB41L2	1246	0.062305599451065063	0.15546316	No	
row_15	NAA20	NAA20	1333	0.059685152024030685	0.15955749	No	
row_16	KCTD15	KCTD15	1339	0.059418290853500366	0.16770788	No	
row_17	HIBCH	HIBCH	1360	0.058984048664569855	0.17503874	No	
row_18	CREB5	CREB5	1404	0.05788154900074005	0.18105125	No	
row_19	CADM1	CADM1	1427	0.05735331028699875	0.18805042	No	
row_20	TBC1D1	TBC1D1	1504	0.05539827421307564	0.19204389	No	
row_21	ALDH3B1	ALDH3B1	1672	0.05166814476251602	0.19091062	No	
row_22	ESYT1	ESYT1	1714	0.0509396567940712	0.19604248	No	
row_23	TMEM236	TMEM236	1824	0.04901105910539627	0.19746481	No	
row_24	STMP1	STMP1	1855	0.0485309399664402	0.20281196	No	
row_25	STRN4	STRN4	1888	0.047894079238176346	0.20796795	No	
row_26	THUMPD1	THUMPD1	1908	0.04764842614531517	0.21374625	No	
row_27	GORASP2	GORASP2	1990	0.04622868075966835	0.21619023	No	
row_28	IST1	IST1	2183	0.043065108358860016	0.21257678	No	
row_29	RPL10A	RPL10A	2207	0.04262442886829376	0.21744241	No	
row_30	KAZN	KAZN	2345	0.04077177494764328	0.21628436	No	
row_31	ZNF267	ZNF267	2578	0.038090404123067856	0.20994575	No	
row_32	MPC2	MPC2	2762	0.035894040018320084	0.20577303	No	
row_33	SBF2-AS1	SBF2-AS1	2767	0.035824503749608994	0.21063726	No	
row_34	FAM43A	FAM43A	2814	0.035376761108636856	0.21331546	No	
row_35	PTPRO	PTPRO	2870	0.03480008244514465	0.21545723	No	
row_36	CHIC2	CHIC2	3124	0.03229057043790817	0.20723704	No	
row_37	RCAN1	RCAN1	3143	0.03202506899833679	0.21085636	No	
row_38	EMC7	EMC7	3147	0.031982455402612686	0.21522778	No	
row_39	BNIP3L	BNIP3L	3148	0.03196188807487488	0.21974793	No	
row_40	CIPC	CIPC	3177	0.03172249719500542	0.22281906	No	
row_41	ALG1	ALG1	3227	0.031237943097949028	0.22476032	No	
row_42	ACVR1	ACVR1	3278	0.030751319602131844	0.22658221	No	
row_43	PRPF19	PRPF19	3391	0.02981763891875744	0.22513853	No	
row_44	TMC6	TMC6	3478	0.02906733937561512	0.22490281	No	
row_45	RPS25	RPS25	3552	0.028420088812708855	0.22523257	No	
row_46	METAP1D	METAP1D	3557	0.028377750888466835	0.22904366	No	
row_47	IFI6	IFI6	3582	0.028126874938607216	0.23180847	No	
row_48	SORBS1	SORBS1	3612	0.027881694957613945	0.23428589	No	
row_49	TM9SF3	TM9SF3	3720	0.027072757482528687	0.23270673	No	
row_50	MIR22HG	MIR22HG	3798	0.02646980807185173	0.23255852	No	
row_51	TMEM255A	TMEM255A	3817	0.02632250264286995	0.23537138	No	
row_52	PPP1R12C	PPP1R12C	3837	0.026168499141931534	0.23811193	No	
row_53	SMOX	SMOX	3923	0.025544816628098488	0.23742858	No	
row_54	POLDIP3	POLDIP3	3951	0.02529994398355484	0.23964196	No	
row_55	AP3D1	AP3D1	3962	0.025214241817593575	0.24270241	No	
row_56	PDPN	PDPN	3997	0.024945033714175224	0.24451183	No	
row_57	MPHOSPH6	MPHOSPH6	4153	0.023856336250901222	0.24005182	No	
row_58	HLCS	HLCS	4175	0.023667655885219574	0.24233761	No	
row_59	SELENOP	SELENOP	4197	0.023532606661319733	0.2446043	No	
row_60	TEFM	TEFM	4321	0.022632701322436333	0.24158856	No	
row_61	SPINK1	SPINK1	4389	0.02222251519560814	0.2413451	No	
row_62	ARF1	ARF1	4394	0.0221872515976429	0.24428071	No	
row_63	ZBTB20	ZBTB20	4575	0.020997868850827217	0.23815295	No	
row_64	GRB10	GRB10	4666	0.020446961745619774	0.23649594	No	
row_65	SUZ12	SUZ12	4670	0.020426273345947266	0.23923306	No	
row_66	WDR81	WDR81	4749	0.020039567723870277	0.23812492	No	
row_67	MBTPS1	MBTPS1	4761	0.01996654085814953	0.2403927	No	
row_68	DCAF6	DCAF6	4769	0.01990719698369503	0.24285424	No	
row_69	ATE1	ATE1	4997	0.018590319901704788	0.23401058	No	
row_70	PACS1	PACS1	5043	0.01827208697795868	0.23432033	No	
row_71	CRYM	CRYM	5249	0.017376231029629707	0.22641686	No	
row_72	DTD1	DTD1	5277	0.01719711534678936	0.22748432	No	
row_73	NOL8	NOL8	5358	0.01673297770321369	0.22580747	No	
row_74	AP2B1	AP2B1	5370	0.01666572503745556	0.22760844	No	
row_75	PHLDB1	PHLDB1	5664	0.01548685971647501	0.21499018	No	
row_76	SNX27	SNX27	5684	0.015363403595983982	0.21620265	No	
row_77	PPP2R2A	PPP2R2A	5695	0.015319296158850193	0.21786372	No	
row_78	NAE1	NAE1	5942	0.01434751320630312	0.20745976	No	
row_79	DNMT1	DNMT1	5985	0.014136645011603832	0.20733629	No	
row_80	EXOC4	EXOC4	6095	0.013622314669191837	0.20375384	No	
row_81	PGBD4	PGBD4	6147	0.013431767001748085	0.20307583	No	
row_82	THAP11	THAP11	6192	0.013267729431390762	0.20272839	No	
row_83	ERC1	ERC1	6195	0.013260082341730595	0.20450258	No	
row_84	DNAJC18	DNAJC18	6233	0.013121386989951134	0.20448823	No	
row_85	OAS2	OAS2	6283	0.01291170809417963	0.20383774	No	
row_86	EFTUD2	EFTUD2	6333	0.012728297151625156	0.20316131	No	
row_87	KIAA0753	KIAA0753	6500	0.01215766929090023	0.19649091	No	
row_88	LTN1	LTN1	6609	0.011793043464422226	0.19270031	No	
row_89	SNX11	SNX11	6702	0.011476436629891396	0.18967359	No	
row_90	SREBF1	SREBF1	6754	0.011315570212900639	0.18869628	No	
row_91	VAMP3	VAMP3	6852	0.010963552631437778	0.18534432	No	
row_92	SLC25A12	SLC25A12	6879	0.010871181264519691	0.18556769	No	
row_93	UBE3D	UBE3D	6925	0.010694919154047966	0.18480587	No	
row_94	ZNF211	ZNF211	6927	0.010687677189707756	0.18626681	No	
row_95	SNCAIP	SNCAIP	7001	0.010445560328662395	0.18405457	No	
row_96	AC016876.1	AC016876.1	7193	0.009810787625610828	0.17578875	No	
