NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CXCL8	CXCL8	528	0.09743163734674454	-0.007130562	No	
row_1	HLA-DRB5	HLA-DRB5	533	0.09690603613853455	0.011884529	No	
row_2	IL1A	IL1A	572	0.0937618836760521	0.028572932	No	
row_3	IL1B	IL1B	617	0.09023220092058182	0.044260863	No	
row_4	HLA-DQA2	HLA-DQA2	771	0.08100058883428574	0.052657884	No	
row_5	CD86	CD86	1343	0.05928129702806473	0.03580841	No	
row_6	FAS	FAS	1559	0.054014526307582855	0.03574847	No	
row_7	TGFB1	TGFB1	2039	0.0454707108438015	0.020769255	No	
row_8	STAT1	STAT1	3034	0.033177558332681656	-0.022446584	No	
row_9	HLA-DMB	HLA-DMB	3140	0.032088909298181534	-0.021343676	No	
row_10	CASP3	CASP3	4406	0.022104313597083092	-0.08033102	No	
row_11	HLA-G	HLA-G	4608	0.020818214863538742	-0.08627211	No	
row_12	HLA-DOB	HLA-DOB	4928	0.018937336280941963	-0.0984974	No	
row_13	HLA-DOA	HLA-DOA	5000	0.018569400534033775	-0.098372035	No	
row_14	CASP7	CASP7	5059	0.01820380613207817	-0.097667925	No	
row_15	MICA	MICA	5061	0.018199313431978226	-0.09410928	No	
row_16	LRRK2	LRRK2	5440	0.01634998433291912	-0.10980323	No	
row_17	CASP9	CASP9	5708	0.01528861466795206	-0.120147064	No	
row_18	CSNK2A2	CSNK2A2	5896	0.014535102061927319	-0.1266327	No	
row_19	TNF	TNF	6434	0.012368878349661827	-0.15108119	No	
row_20	BHMT2	BHMT2	6561	0.01196505781263113	-0.15502064	No	
row_21	IL10	IL10	6707	0.011468295007944107	-0.1600104	No	
row_22	IL12A	IL12A	7121	0.01009025052189827	-0.17869891	No	
row_23	CD28	CD28	7615	0.008510514162480831	-0.20170829	No	
row_24	IFNG	IFNG	8240	0.006850058678537607	-0.23160937	No	
row_25	GZMB	GZMB	8470	0.006216264795511961	-0.24184856	No	
row_26	FOXP3	FOXP3	8643	0.005744240712374449	-0.2493259	No	
row_27	CTLA4	CTLA4	9078	0.0045681726187467575	-0.2701614	No	
row_28	CXCR5	CXCR5	9552	0.0034268395975232124	-0.2931769	No	
row_29	PDGFRA	PDGFRA	10326	0.0016246835002675653	-0.3315783	No	
row_30	CXCL11	CXCL11	10742	8.124805754050612E-4	-0.3522067	No	
row_31	CCL19	CCL19	10842	6.626549293287098E-4	-0.35703474	No	
row_32	C9	C9	10889	6.122466293163598E-4	-0.3592177	No	
row_33	C6	C6	11473	0.0	-0.3884232	No	
row_34	CXCL13	CXCL13	11595	0.0	-0.39448473	No	
row_35	CXCL12	CXCL12	12465	-4.306666669435799E-4	-0.437932	No	
row_36	PRF1	PRF1	12766	-6.490122177638113E-4	-0.4528319	No	
row_37	GABPA	GABPA	13089	-0.001039477065205574	-0.4687564	No	
row_38	CD40	CD40	13137	-0.0011247968068346381	-0.47088787	No	
row_39	FASLG	FASLG	13727	-0.0023924801498651505	-0.4999195	No	
row_40	CD40LG	CD40LG	14754	-0.005203370004892349	-0.5502854	No	
row_41	C5	C5	14786	-0.005291279871016741	-0.5507891	No	
row_42	C3	C3	15145	-0.0064557078294456005	-0.56744313	No	
row_43	GNLY	GNLY	15330	-0.007160864304751158	-0.5752407	No	
row_44	ABCB1	ABCB1	15905	-0.009488191455602646	-0.6021139	No	
row_45	TUBA1B	TUBA1B	16967	-0.015002856962382793	-0.65229	No	
row_46	CXCL9	CXCL9	17210	-0.016707703471183777	-0.6611001	No	
row_47	C8A	C8A	17257	-0.01696380414068699	-0.6600407	No	
row_48	VEGFA	VEGFA	17615	-0.020283469930291176	-0.6739027	No	
row_49	IL2RA	IL2RA	17659	-0.020617567002773285	-0.6719685	No	
row_50	PRKCZ	PRKCZ	17850	-0.022572679445147514	-0.67701066	No	
row_51	CASP8	CASP8	18123	-0.025955218821763992	-0.6854899	No	
row_52	CD80	CD80	18512	-0.032857004553079605	-0.69841164	No	
row_53	CD55	CD55	18825	-0.04076738283038139	-0.70595753	No	
row_54	VIM	VIM	19129	-0.05195155739784241	-0.7108349	Yes	
row_55	HLA-DMA	HLA-DMA	19203	-0.05550689622759819	-0.7034854	Yes	
row_56	HLA-DQB1	HLA-DQB1	19606	-0.08723927289247513	-0.70632505	Yes	
row_57	HLA-DRA	HLA-DRA	19799	-0.12240268290042877	-0.69167215	Yes	
row_58	HLA-DPB1	HLA-DPB1	19805	-0.12495976686477661	-0.66714436	Yes	
row_59	HLA-DPA1	HLA-DPA1	19824	-0.1297379434108734	-0.6423204	Yes	
row_60	HLA-DQA1	HLA-DQA1	19889	-0.1540834754705429	-0.6149733	Yes	
row_61	HLA-A	HLA-A	19903	-0.16308899223804474	-0.5832857	Yes	
row_62	PECR	PECR	19912	-0.16860926151275635	-0.5502529	Yes	
row_63	HLA-F	HLA-F	19934	-0.18217983841896057	-0.5151805	Yes	
row_64	HLA-DRB1	HLA-DRB1	19939	-0.1859540045261383	-0.47850817	Yes	
row_65	HLA-B	HLA-B	19970	-0.22170399129390717	-0.4360494	Yes	
row_66	HLA-E	HLA-E	19987	-0.239887073636055	-0.38928378	Yes	
row_67	HLA-C	HLA-C	19988	-0.24234934151172638	-0.3412284	Yes	
row_68	C2	C2	19996	-0.2555970847606659	-0.29089677	Yes	
row_69	C1QB	C1QB	20003	-0.27799907326698303	-0.23607299	Yes	
row_70	C1QA	C1QA	20013	-0.3088509142398834	-0.17528188	Yes	
row_71	C8B	C8B	20024	-0.43346306681632996	-0.08983156	Yes	
row_72	C1QC	C1QC	20026	-0.455306738615036	4.0098905E-4	Yes	
