NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RHOA	RHOA	218	0.13800790905952454	0.08305019	No	
row_1	ITGA6	ITGA6	480	0.10088763386011124	0.1386809	No	
row_2	EIF4EBP1	EIF4EBP1	611	0.09064368903636932	0.1938874	No	
row_3	SRC	SRC	1129	0.0658905953168869	0.21289511	No	
row_4	MAPK1	MAPK1	1577	0.05367860198020935	0.22708914	No	
row_5	SHC1	SHC1	3681	0.027349811047315598	0.14056808	No	
row_6	PRKCA	PRKCA	5100	0.01803465001285076	0.08195228	No	
row_7	MAPK14	MAPK14	6737	0.01136639155447483	0.007898148	No	
row_8	LAMB3	LAMB3	7930	0.00766956340521574	-0.046474826	No	
row_9	LAMA2	LAMA2	8025	0.007395431399345398	-0.046139903	No	
row_10	ITGB4	ITGB4	8158	0.007066167891025543	-0.04792894	No	
row_11	LAMA5	LAMA5	8262	0.006781319621950388	-0.04846203	No	
row_12	PIK3R1	PIK3R1	9034	0.004662676248699427	-0.08383405	No	
row_13	LAMB2	LAMB2	9046	0.004642930813133717	-0.08122332	No	
row_14	LAMC2	LAMC2	9088	0.004531132988631725	-0.080188535	No	
row_15	LAMA3	LAMA3	11608	0.0	-0.20612594	No	
row_16	IRS1	IRS1	11881	0.0	-0.21972458	No	
row_17	HRAS	HRAS	13015	-9.398608235642314E-4	-0.2757291	No	
row_18	SOS1	SOS1	14666	-0.00495092524215579	-0.3548505	No	
row_19	GAB1	GAB1	15415	-0.007454641163349152	-0.387172	No	
row_20	PTPN11	PTPN11	15514	-0.007866548374295235	-0.38671634	No	
row_21	PIK3R2	PIK3R2	15841	-0.009242428466677666	-0.3967229	No	
row_22	MTOR	MTOR	16572	-0.012594057247042656	-0.42464584	No	
row_23	LAMC1	LAMC1	17412	-0.018051128834486008	-0.45430332	No	
row_24	PRKCD	PRKCD	17422	-0.018127107992768288	-0.4424132	No	
row_25	MAPK3	MAPK3	17666	-0.020693304017186165	-0.44047502	No	
row_26	PTK2	PTK2	19124	-0.0517115592956543	-0.478115	Yes	
row_27	LAMA1	LAMA1	19136	-0.052257999777793884	-0.44309023	Yes	
row_28	AKT1	AKT1	19634	-0.0922473818063736	-0.4051402	Yes	
row_29	RAC1	RAC1	19772	-0.11612871289253235	-0.3329347	Yes	
row_30	GRB2	GRB2	19809	-0.12554669380187988	-0.24926841	Yes	
row_31	IRS2	IRS2	19821	-0.1285325288772583	-0.16231965	Yes	
row_32	LAMB1	LAMB1	19995	-0.254011332988739	0.0019498225	Yes	
