NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACSS2	ACSS2	479	0.10102735459804535	0.040190015	No	
row_1	ACSL3	ACSL3	538	0.09635379910469055	0.09844994	No	
row_2	PC	PC	781	0.08039575815200806	0.13738689	No	
row_3	ACLY	ACLY	1004	0.07021482288837433	0.17086111	No	
row_4	ACSL1	ACSL1	1788	0.049580927938222885	0.16320673	No	
row_5	ACSL5	ACSL5	1998	0.04607617110013962	0.18200916	No	
row_6	ACSL4	ACSL4	2110	0.044167112559080124	0.20449667	No	
row_7	ACACA	ACACA	3682	0.02734975703060627	0.14335723	No	
row_8	FASN	FASN	4253	0.02305496297776699	0.12950929	No	
row_9	ACAA2	ACAA2	5159	0.017782581970095634	0.0955757	No	
row_10	ACSL6	ACSL6	8622	0.005798943340778351	-0.07373114	No	
row_11	DECR1	DECR1	17319	-0.017331436276435852	-0.49724805	No	
row_12	HADH	HADH	17998	-0.02440628781914711	-0.5156348	Yes	
row_13	ECHDC2	ECHDC2	18038	-0.024904854595661163	-0.5017758	Yes	
row_14	ECHS1	ECHS1	18413	-0.031070861965417862	-0.50074226	Yes	
row_15	ECHDC3	ECHDC3	19074	-0.04966621845960617	-0.5021965	Yes	
row_16	MECR	MECR	19368	-0.0646047294139862	-0.47583082	Yes	
row_17	ACACB	ACACB	19555	-0.0821574479341507	-0.4329775	Yes	
row_18	ECHDC1	ECHDC1	19894	-0.1569826304912567	-0.35022593	Yes	
row_19	PECR	PECR	19912	-0.16860926151275635	-0.24405508	Yes	
row_20	SCD	SCD	19916	-0.1721174269914627	-0.13495797	Yes	
row_21	ECH1	ECH1	19971	-0.22183522582054138	0.0031478482	Yes	
