NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ST6GAL1	ST6GAL1	1546	0.05420761555433273	0.059956007	No	
row_1	B3GALNT1	B3GALNT1	4162	0.023772047832608223	-0.01052473	No	
row_2	ST8SIA1	ST8SIA1	8411	0.006378494203090668	-0.2066116	No	
row_3	ST3GAL2	ST3GAL2	8896	0.0050276960246264935	-0.21806765	No	
row_4	ST6GALNAC2	ST6GALNAC2	9412	0.003741141874343157	-0.2343286	No	
row_5	FUT2	FUT2	10213	0.0018898287089541554	-0.26951364	No	
row_6	B3GALT5	B3GALT5	11800	0.0	-0.34875026	No	
row_7	ST6GALNAC3	ST6GALNAC3	11958	-4.9045378545997664E-5	-0.35646984	No	
row_8	FUT1	FUT1	12006	-1.2557987065520138E-4	-0.35850015	No	
row_9	FUT9	FUT9	12623	-5.319113843142986E-4	-0.3879293	No	
row_10	GBGT1	GBGT1	12860	-7.266107713803649E-4	-0.39788088	No	
row_11	ST6GALNAC1	ST6GALNAC1	13175	-0.0012135758297517896	-0.4104969	No	
row_12	ABO	ABO	14506	-0.004438004456460476	-0.4657116	No	
row_13	ST6GALNAC6	ST6GALNAC6	16349	-0.011566015891730785	-0.5284655	Yes	
row_14	ST3GAL1	ST3GAL1	17067	-0.015602538362145424	-0.52479833	Yes	
row_15	ST6GALNAC4	ST6GALNAC4	17582	-0.01981962099671364	-0.50031626	Yes	
row_16	A4GALT	A4GALT	18401	-0.030886318534612656	-0.4630133	Yes	
row_17	GALNT2	GALNT2	19087	-0.05023349076509476	-0.37009984	Yes	
row_18	GCNT1	GCNT1	19907	-0.1649063378572464	0.0063448204	Yes	
