NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FLT1	FLT1	82	0.19143293797969818	0.19551797	Yes	
row_1	PIM1	PIM1	136	0.1652323603630066	0.36516446	Yes	
row_2	GADD45A	GADD45A	168	0.150201216340065	0.5202365	Yes	
row_3	MYC	MYC	477	0.10149788111448288	0.61068404	Yes	
row_4	KIT	KIT	1488	0.055794790387153625	0.61840135	Yes	
row_5	SPRED2	SPRED2	1725	0.05077988654375076	0.65956044	Yes	
row_6	GAB2	GAB2	1953	0.04675805941224098	0.6969755	Yes	
row_7	ABCG2	ABCG2	2226	0.0424111932516098	0.7276096	Yes	
row_8	FOXO3	FOXO3	2284	0.04159156605601311	0.7681309	Yes	
row_9	ABL1	ABL1	7029	0.010364512912929058	0.5419162	No	
row_10	SKP2	SKP2	9606	0.003289374290034175	0.41664267	No	
row_11	PDGFRA	PDGFRA	10326	0.0016246835002675653	0.38241374	No	
row_12	CDKN1B	CDKN1B	10490	0.0012613659491762519	0.37558514	No	
row_13	LYL1	LYL1	10505	0.0012389890616759658	0.3761776	No	
row_14	PDGFRB	PDGFRB	12592	-5.122993024997413E-4	0.27248996	No	
row_15	NOP2	NOP2	14278	-0.0038237490225583315	0.19229028	No	
row_16	ABCB1	ABCB1	15905	-0.009488191455602646	0.12094493	No	
row_17	PIM2	PIM2	16431	-0.011965302750468254	0.10719132	No	
row_18	CSF1R	CSF1R	18366	-0.030222568660974503	0.04207809	No	
row_19	BCR	BCR	18783	-0.03952030465006828	0.0625031	No	
