NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TNKS2	TNKS2	3167	0.03178701177239418	-0.12030696	No	
row_1	SIRT2	SIRT2	4082	0.02432410605251789	-0.1369484	No	
row_2	NAMPT	NAMPT	5001	0.018569033592939377	-0.16065739	No	
row_3	IDO1	IDO1	5620	0.01564357802271843	-0.17286788	No	
row_4	NADSYN1	NADSYN1	5808	0.014865453355014324	-0.16447201	No	
row_5	SIRT1	SIRT1	6073	0.013742804527282715	-0.16126312	No	
row_6	TNKS	TNKS	6563	0.011964059434831142	-0.171419	No	
row_7	SIRT6	SIRT6	6965	0.01055797841399908	-0.17885587	No	
row_8	SIRT5	SIRT5	9776	0.0028865383937954903	-0.315813	No	
row_9	NMNAT1	NMNAT1	13281	-0.0014426112174987793	-0.48916894	No	
row_10	SIRT7	SIRT7	15441	-0.007547567132860422	-0.5880367	No	
row_11	SIRT4	SIRT4	15954	-0.00970649253576994	-0.6020358	No	
row_12	SIRT3	SIRT3	16770	-0.013778177089989185	-0.6263154	No	
row_13	PARP2	PARP2	18087	-0.02547541819512844	-0.6616689	Yes	
row_14	TDO2	TDO2	18940	-0.04463717341423035	-0.6509724	Yes	
row_15	QPRT	QPRT	19063	-0.04907818138599396	-0.59850186	Yes	
row_16	CD38	CD38	19156	-0.05332847684621811	-0.5394604	Yes	
row_17	PARP1	PARP1	19290	-0.05952223762869835	-0.47507632	Yes	
row_18	PARP4	PARP4	19630	-0.09171094000339508	-0.38257343	Yes	
row_19	NAPRT	NAPRT	19771	-0.11541549116373062	-0.25184023	Yes	
row_20	BST1	BST1	19972	-0.22201064229011536	0.0030978555	Yes	
