NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDKN1A	CDKN1A	17	0.3186032176017761	0.094992146	Yes	
row_1	ZMAT3	ZMAT3	111	0.17623625695705414	0.14335144	Yes	
row_2	FUCA1	FUCA1	133	0.16593827307224274	0.19221807	Yes	
row_3	GADD45A	GADD45A	168	0.150201216340065	0.23569967	Yes	
row_4	BBC3	BBC3	244	0.13314004242420197	0.2719959	Yes	
row_5	RRM2B	RRM2B	350	0.11700179427862167	0.30193517	Yes	
row_6	DDB2	DDB2	381	0.11370103061199188	0.33463696	Yes	
row_7	TIGAR	TIGAR	390	0.11192207783460617	0.36790517	Yes	
row_8	PTEN	PTEN	517	0.09833597391843796	0.39117783	Yes	
row_9	NOTCH1	NOTCH1	582	0.0930008515715599	0.41595003	Yes	
row_10	SLC7A11	SLC7A11	745	0.08244065195322037	0.43263838	Yes	
row_11	CCNG1	CCNG1	882	0.07514847815036774	0.44843492	Yes	
row_12	CCL2	CCL2	972	0.07150837033987045	0.46548986	Yes	
row_13	ADORA2B	ADORA2B	1075	0.06771081686019897	0.48075148	Yes	
row_14	ICAM1	ICAM1	1078	0.06757084280252457	0.50097823	Yes	
row_15	TP53INP1	TP53INP1	1292	0.0609002485871315	0.508633	Yes	
row_16	IRF5	IRF5	1378	0.05858560651540756	0.5220008	Yes	
row_17	BAX	BAX	1442	0.05700637772679329	0.53599507	Yes	
row_18	FAS	FAS	1559	0.054014526307582855	0.5464355	Yes	
row_19	NCF2	NCF2	1764	0.05000714585185051	0.551264	Yes	
row_20	PMAIP1	PMAIP1	1951	0.046816058456897736	0.5560339	Yes	
row_21	LIF	LIF	2176	0.04321545362472534	0.5578179	Yes	
row_22	SESN1	SESN1	2338	0.04091063514351845	0.56206304	Yes	
row_23	TNFRSF10D	TNFRSF10D	2484	0.039023127406835556	0.5665416	Yes	
row_24	PIDD1	PIDD1	2503	0.038843609392642975	0.57732534	Yes	
row_25	MLH1	MLH1	2682	0.03695259988307953	0.5795286	Yes	
row_26	XPC	XPC	2832	0.03520715609192848	0.582659	Yes	
row_27	SLC2A1	SLC2A1	2882	0.03469300642609596	0.5906419	Yes	
row_28	ULK1	ULK1	2982	0.03365157172083855	0.5958079	Yes	
row_29	DRAM1	DRAM1	3570	0.028303207829594612	0.57492954	No	
row_30	ALDH4A1	ALDH4A1	3777	0.026643618941307068	0.57262963	No	
row_31	MSH2	MSH2	4002	0.02492745779454708	0.56891215	No	
row_32	TRAF4	TRAF4	4168	0.023694559931755066	0.56777805	No	
row_33	POLH	POLH	4752	0.02001221664249897	0.54460585	No	
row_34	PML	PML	5282	0.017168832942843437	0.52328223	No	
row_35	TP53I3	TP53I3	5471	0.016225483268499374	0.5187496	No	
row_36	SERPINE1	SERPINE1	6298	0.012848695740103722	0.48125482	No	
row_37	PRKAB2	PRKAB2	6480	0.012243201024830341	0.47587472	No	
row_38	POLK	POLK	7107	0.010148241184651852	0.4475821	No	
row_39	FANCC	FANCC	7251	0.009627118706703186	0.4433178	No	
row_40	GLS2	GLS2	7922	0.007684369571506977	0.4120808	No	
row_41	PRKAB1	PRKAB1	8167	0.007036619354039431	0.40197983	No	
row_42	NANOG	NANOG	8237	0.006854497827589512	0.40058684	No	
row_43	ACAD11	ACAD11	8915	0.00497105298563838	0.36818308	No	
row_44	ULBP1	ULBP1	9612	0.0032790033146739006	0.33431897	No	
row_45	ADGRB1	ADGRB1	9745	0.0029818429611623287	0.32860637	No	
row_46	ULK2	ULK2	9921	0.0025299799162894487	0.32060474	No	
row_47	SERPINB5	SERPINB5	12593	-5.123484879732132E-4	0.18701495	No	
row_48	BTG2	BTG2	13977	-0.003010723041370511	0.11867023	No	
row_49	TP53AIP1	TP53AIP1	14070	-0.0032794575672596693	0.11505009	No	
row_50	CPT1C	CPT1C	14285	-0.0038458863273262978	0.10549149	No	
row_51	PERP	PERP	15118	-0.006359707564115524	0.06574423	No	
row_52	ERCC5	ERCC5	15882	-0.009411065839231014	0.030369904	No	
row_53	SESN2	SESN2	16204	-0.010830484330654144	0.017554663	No	
row_54	APAF1	APAF1	16501	-0.012295643799006939	0.0064319917	No	
row_55	CX3CL1	CX3CL1	17466	-0.018620358780026436	-0.036236554	No	
row_56	ISG15	ISG15	17636	-0.020425500348210335	-0.03855435	No	
row_57	IRF9	IRF9	17645	-0.020474515855312347	-0.032795716	No	
row_58	ULBP2	ULBP2	18055	-0.025110384449362755	-0.045721613	No	
row_59	XRCC5	XRCC5	18399	-0.030850078910589218	-0.053616084	No	
row_60	MGMT	MGMT	19363	-0.06397959589958191	-0.08258943	No	
row_61	SAT1	SAT1	19593	-0.0852411687374115	-0.068413496	No	
row_62	SIVA1	SIVA1	19830	-0.13073773682117462	-0.040901627	No	
row_63	THBS1	THBS1	19914	-0.16975390911102295	0.0060083345	No	
