NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FABP3	FABP3	59	0.21371594071388245	0.07524677	No	
row_1	DBI	DBI	271	0.12777644395828247	0.11144113	No	
row_2	ACSL3	ACSL3	538	0.09635379910469055	0.13338536	No	
row_3	FADS2	FADS2	648	0.08786014467477798	0.1600788	No	
row_4	PCK2	PCK2	871	0.07565604895353317	0.17665161	No	
row_5	CYP27A1	CYP27A1	1588	0.0534650981426239	0.16038243	No	
row_6	ACOX1	ACOX1	1636	0.05223779380321503	0.1771443	No	
row_7	SLC27A1	SLC27A1	1659	0.051860012114048004	0.19501908	No	
row_8	ACSL1	ACSL1	1788	0.049580927938222885	0.20675516	No	
row_9	ACSL5	ACSL5	1998	0.04607617110013962	0.21315518	No	
row_10	ACSL4	ACSL4	2110	0.044167112559080124	0.22376108	No	
row_11	PPARA	PPARA	2146	0.04370990768074989	0.23800312	No	
row_12	ACADM	ACADM	2385	0.04034796729683876	0.24085587	No	
row_13	PPARD	PPARD	2434	0.03969496488571167	0.25297824	No	
row_14	ACOX2	ACOX2	3306	0.030546527355909348	0.2205661	No	
row_15	FABP5	FABP5	3426	0.02952124923467636	0.22541267	No	
row_16	SORBS1	SORBS1	3612	0.027881694957613945	0.22635634	No	
row_17	ACAA1	ACAA1	4148	0.02387797087430954	0.20831929	No	
row_18	SLC27A4	SLC27A4	5252	0.017361292615532875	0.15947217	No	
row_19	SLC27A2	SLC27A2	5523	0.016019640490412712	0.15182164	No	
row_20	ME1	ME1	5535	0.015988744795322418	0.1571215	No	
row_21	MMP1	MMP1	5881	0.01459720078855753	0.14519712	No	
row_22	PDPK1	PDPK1	6150	0.013419930823147297	0.13669546	No	
row_23	RXRB	RXRB	6960	0.010577325709164143	0.1000793	No	
row_24	RXRA	RXRA	7919	0.007688660174608231	0.05494946	No	
row_25	CPT2	CPT2	7972	0.007545219734311104	0.05510794	No	
row_26	ACSL6	ACSL6	8622	0.005798943340778351	0.02475056	No	
row_27	EHHADH	EHHADH	8827	0.0051973797380924225	0.016443113	No	
row_28	SCP2	SCP2	9820	0.002781255403533578	-0.032183897	No	
row_29	CYP7A1	CYP7A1	10613	0.001046425779350102	-0.07143667	No	
row_30	CD36	CD36	11181	2.941337588708848E-4	-0.09970459	No	
row_31	APOA1	APOA1	11345	1.5498128777835518E-4	-0.10780522	No	
row_32	ACADL	ACADL	11871	0.0	-0.13407888	No	
row_33	ANGPTL4	ANGPTL4	12492	-4.49175713583827E-4	-0.16494244	No	
row_34	CPT1A	CPT1A	12767	-6.499079754576087E-4	-0.17841698	No	
row_35	CPT1B	CPT1B	13360	-0.0016194885829463601	-0.20745106	No	
row_36	HMGCS2	HMGCS2	13592	-0.002114415867254138	-0.2182378	No	
row_37	ACOX3	ACOX3	13957	-0.0029504012782126665	-0.23537463	No	
row_38	FABP6	FABP6	14229	-0.0037185081746429205	-0.24757622	No	
row_39	CPT1C	CPT1C	14285	-0.0038458863273262978	-0.24892147	No	
row_40	AQP7	AQP7	14744	-0.005161941982805729	-0.26995334	No	
row_41	ACSBG1	ACSBG1	15100	-0.0062953755259513855	-0.28541583	No	
row_42	ACSBG2	ACSBG2	16379	-0.011707667261362076	-0.3450895	No	
row_43	ILK	ILK	17083	-0.015729235485196114	-0.37451577	No	
row_44	NR1H3	NR1H3	17841	-0.022509120404720306	-0.40416372	No	
row_45	PLIN1	PLIN1	18775	-0.03940579295158386	-0.436437	Yes	
row_46	SLC27A5	SLC27A5	18809	-0.04017491266131401	-0.42338836	Yes	
row_47	OLR1	OLR1	19576	-0.08418258279561996	-0.43092015	Yes	
row_48	PPARG	PPARG	19834	-0.13245059549808502	-0.39531755	Yes	
row_49	LPL	LPL	19906	-0.16488352417945862	-0.3385393	Yes	
row_50	SCD	SCD	19916	-0.1721174269914627	-0.27601132	Yes	
row_51	PLTP	PLTP	19928	-0.17970454692840576	-0.21080726	Yes	
row_52	FABP4	FABP4	20033	-0.5904895067214966	5.028422E-5	Yes	
