NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MTHFD2	MTHFD2	39	0.2508121132850647	0.17355548	Yes	
row_1	GCLC	GCLC	193	0.14363376796245575	0.266415	Yes	
row_2	AHCYL1	AHCYL1	333	0.11899688839912415	0.34273475	Yes	
row_3	GCLM	GCLM	534	0.09668876230716705	0.40039536	Yes	
row_4	MAT2B	MAT2B	601	0.09160133451223373	0.46119407	Yes	
row_5	MAT2A	MAT2A	718	0.0837862566113472	0.514025	Yes	
row_6	PSAT1	PSAT1	1013	0.06995347142219543	0.54827905	Yes	
row_7	DNMT3A	DNMT3A	1308	0.060519807040691376	0.575932	Yes	
row_8	MTHFD2L	MTHFD2L	1381	0.05854465067386627	0.6132995	Yes	
row_9	SHMT2	SHMT2	1481	0.05602781102061272	0.64755625	Yes	
row_10	MTHFR	MTHFR	1743	0.05040350556373596	0.66977984	Yes	
row_11	TYMS	TYMS	2089	0.04458518326282501	0.68373334	Yes	
row_12	CTH	CTH	2616	0.03765757754445076	0.683792	Yes	
row_13	AHCY	AHCY	3107	0.03247148171067238	0.68202114	No	
row_14	PSPH	PSPH	4635	0.020663650706410408	0.62015337	No	
row_15	MTHFD1L	MTHFD1L	5441	0.016348274424672127	0.5913551	No	
row_16	CBS	CBS	5690	0.015329667367041111	0.5896857	No	
row_17	DNMT1	DNMT1	5985	0.014136645011603832	0.58488214	No	
row_18	DHFR2	DHFR2	6305	0.012819068506360054	0.577907	No	
row_19	AHCYL2	AHCYL2	6808	0.011097039096057415	0.56057966	No	
row_20	AMT	AMT	7167	0.009892799891531467	0.5496075	No	
row_21	MTR	MTR	7681	0.008341960608959198	0.52980244	No	
row_22	MAT1A	MAT1A	11809	0.0	0.32351434	No	
row_23	GSS	GSS	12338	-3.4648444852791727E-4	0.2973647	No	
row_24	DNMT3B	DNMT3B	14566	-0.004653263371437788	0.18930422	No	
row_25	MTHFD1	MTHFD1	17315	-0.01732315868139267	0.064067245	No	
row_26	SHMT1	SHMT1	17753	-0.02151266299188137	0.05727721	No	
row_27	PHGDH	PHGDH	18611	-0.03507724776864052	0.038985245	No	
row_28	DHFR	DHFR	18975	-0.045864444226026535	0.05293417	No	
