"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MGLL",0,1.25432204420782,0.685,0.142,0
"RARRES1",0,1.34075291937615,0.47,0.012,0
"SOD2",0,2.42629922198739,0.879,0.327,0
"PLIN2",0,2.12202991445562,0.923,0.611,0
"CTSL",0,2.04324887319773,0.951,0.681,0
"ABCA1",0,1.29379714200298,0.699,0.141,0
"PSAP",0,1.27198515865833,0.991,0.942,0
"NUPR1",0,2.5829773043177,0.815,0.357,0
"PLTP",0,1.94471600551596,0.63,0.07,0
"APOC1",0,2.25678872177875,0.949,0.834,0
"CSTB",4.13782934635363e-306,1.44841818066604,0.988,0.963,8.29634783943903e-302
"FTL",1.36001239460956e-305,1.38466299733794,1,1,2.72682485119217e-301
"SPP1",1.48669024190418e-293,4.02762771825624,0.526,0.076,2.98081393501787e-289
"SCD",2.51919407509827e-289,1.9041169921779,0.756,0.297,5.05098412057204e-285
"NR1H3",1.21515078713594e-271,1.03554130508865,0.608,0.126,2.43637732820756e-267
"CCL18",3.62299425594251e-268,2.63374434220979,0.839,0.463,7.26410348316473e-264
"GPNMB",2.27475860629391e-259,1.68255937269069,0.922,0.738,4.56089100561929e-255
"APOE",5.90839248448319e-246,2.3211339428991,0.901,0.656,1.18463269313888e-241
"CFD",1.04662565141707e-242,1.71748915674189,0.87,0.634,2.09848443109123e-238
"CTSB",4.16873496358453e-240,1.19150700742084,0.991,0.932,8.35831360198699e-236
"MARCKS",9.4339587875139e-235,1.29717694664217,0.693,0.212,1.89150873689654e-230
"KLHDC8B",3.25541972779131e-234,0.84733666636565,0.483,0.076,6.52711655422158e-230
"SERPING1",5.09875040259268e-219,1.35686877986213,0.663,0.236,1.02229945571983e-214
"NINJ1",2.22865894375888e-214,0.899894248864058,0.623,0.168,4.46846118223655e-210
"SAT1",3.55980781770838e-213,1.0355727128089,0.973,0.884,7.13741467450531e-209
"ACO1",4.86586720928352e-202,0.929358063668287,0.507,0.118,9.75606375461346e-198
"SQSTM1",5.90992737537112e-202,1.10436641127563,0.907,0.655,1.18494043876191e-197
"IL4I1",9.40279955336179e-198,1.08906548101564,0.529,0.125,1.88526131044904e-193
"SLAMF7",2.03949060741316e-197,0.845807559989804,0.351,0.036,4.08917866786339e-193
"CD59",2.16134098153021e-196,1.02478914602346,0.751,0.356,4.33348866796807e-192
"CD63",2.10803248104467e-185,0.685021847347706,0.99,0.97,4.22660512449456e-181
"HS3ST2",1.6599830199239e-182,0.684834974021302,0.227,0.002,3.32826595494742e-178
"PLPP3",7.39081316091583e-182,0.672302322505103,0.379,0.056,1.48185803876362e-177
"RBP4",3.46720936619193e-180,1.47065174926615,0.443,0.101,6.95175477921481e-176
"ACP2",1.44292858648118e-177,0.855614190483832,0.626,0.225,2.89307181589476e-173
"CTSD",2.25847642739926e-177,0.982458835197495,0.976,0.913,4.52824523693551e-173
"FABP5",2.48782457635911e-173,1.4131155614231,0.941,0.808,4.98808827560001e-169
"LGALS1",6.30712601722451e-172,0.730560251322428,0.993,0.962,1.26457876645351e-167
"RETREG1",2.56584566454109e-169,0.654820305998408,0.329,0.042,5.14452055740489e-165
"PLD3",7.66183105440831e-167,1.28126353742121,0.796,0.519,1.53619712640887e-162
"RAB42",2.0798026223725e-166,0.951473702061786,0.48,0.131,4.17000425785686e-162
"CYP27A1",4.5358796162324e-165,0.976239679708438,0.866,0.564,9.09443863054596e-161
"AKR1B1",7.71805466978505e-163,0.919066201397931,0.694,0.323,1.5474699612919e-158
"TMEM37",5.78607824405938e-161,0.446857011170233,0.265,0.02,1.16010868793391e-156
"HLA-A",1.07155966199232e-160,0.790013427187728,0.99,0.981,2.14847712229459e-156
"PDE4DIP",1.94985974392498e-159,0.864119181724298,0.7,0.313,3.90946878656958e-155
"OPTN",1.41904337452946e-158,0.672167217215317,0.436,0.096,2.84518196593156e-154
"SMPDL3A",1.96509852426632e-158,0.476732376620091,0.293,0.031,3.94002254115397e-154
"SPARC",8.1810200088912e-157,0.726715828947541,0.436,0.102,1.64029451178269e-152
"TSPAN4",1.37041223423996e-156,0.809014182783243,0.646,0.263,2.74767652965111e-152
"CTSZ",2.62572672476968e-156,0.980764563341486,0.977,0.963,5.26458208316321e-152
"PKD2L1",6.23830190431169e-156,0.378965521040179,0.243,0.014,1.25077953181449e-151
"FTH1",4.36027494212632e-153,0.624467051898345,1,1,8.74235125896328e-149
"GADD45B",2.0029945568855e-143,0.805685654835312,0.528,0.167,4.01600408655542e-139
"LGMN",3.99330007800061e-142,1.36092628788217,0.676,0.323,8.00656665639122e-138
"C2",4.68653520068986e-138,0.778340997223534,0.516,0.169,9.39650307738317e-134
"ATF5",1.26177586317221e-137,0.926360878922579,0.504,0.167,2.52986060566029e-133
"SDS",2.22062789858564e-136,1.20957153315073,0.264,0.031,4.45235893666421e-132
"DRAM1",5.04067538990004e-132,0.693831920930867,0.526,0.188,1.01065541567496e-127
"ATOX1",1.17655203321845e-129,0.892400782604107,0.854,0.659,2.35898682660298e-125
"NPL",9.21600184134759e-127,0.782846879005428,0.615,0.277,1.84780836919019e-122
"ADAMDEC1",5.5138020820687e-126,0.574162459153674,0.179,0.007,1.10551731745477e-121
"SELENOM",6.35417927329238e-122,0.491068466601417,0.39,0.098,1.27401294429512e-117
"C1S",2.72709519227772e-121,0.346584970395181,0.168,0.005,5.46782586051682e-117
"LINC01857",1.31323921346471e-120,0.321702844982561,0.2,0.015,2.63304462299674e-116
"LILRB4",1.59376829043374e-120,0.78121940449282,0.678,0.341,3.19550542231965e-116
"FABP4",1.98442177132842e-120,2.28588523679221,0.704,0.431,3.97876565151349e-116
"HES2",3.81889018124179e-120,0.317934639029995,0.177,0.008,7.65687481338979e-116
"SELENOP",7.20711048505333e-120,1.32438952971845,0.216,0.021,1.44502565225319e-115
"CCL3",1.78658728941549e-117,1.40784560510176,0.317,0.068,3.58210751527805e-113
"TCN2",2.88849524943438e-117,0.578829611361908,0.44,0.138,5.79143297511594e-113
"OTOA",7.86915387339435e-115,0.500022618552056,0.328,0.073,1.57776535161557e-110
"CCL4L2",1.56828539862031e-112,1.01636183319501,0.174,0.01,3.14441222423373e-108
"MME",1.37432003229283e-110,0.481810084004758,0.286,0.053,2.75551166474713e-106
"APLP2",6.64442014274071e-109,0.61377871367026,0.938,0.871,1.33220623861951e-104
"UGCG",3.01059391363117e-108,0.526916950863116,0.406,0.121,6.0362407968305e-104
"KCNJ5",5.17630337733232e-108,0.312529826519442,0.162,0.008,1.03784882715513e-103
"PCOLCE2",5.32559317387482e-106,0.514180574518656,0.382,0.108,1.0677814313619e-101
"CD72",7.19483862368324e-106,0.336872879755436,0.221,0.029,1.44256514404849e-101
"ADTRP",1.00789406305611e-105,0.472898966989351,0.354,0.093,2.0208275964275e-101
"BLVRB",5.05752682313812e-105,0.832321399429008,0.824,0.649,1.01403412803919e-100
"ITGB8",1.40080658789864e-104,0.509048969632884,0.255,0.045,2.80861720873677e-100
"SDC3",2.54236484019375e-104,0.440544275323685,0.247,0.041,5.09744150458846e-100
"HIF1A",1.46937954036428e-102,0.821540422760661,0.528,0.227,2.94610597843039e-98
"CXXC5",2.17781069878172e-102,0.553984085994493,0.504,0.198,4.36651045105734e-98
"ATP6V0D2",8.03914192678131e-100,0.485776820234663,0.294,0.067,1.61184795631965e-95
"CD84",1.28087149636247e-98,0.81840399605287,0.685,0.394,2.56814735020676e-94
"NRP2",4.11843249633346e-98,0.660987292413096,0.565,0.264,8.25745715514858e-94
"CXCR4",2.17364217809757e-96,0.826839169438201,0.491,0.196,4.35815256708563e-92
"HAMP",2.76650450723404e-96,0.488484459627199,0.173,0.016,5.54684153700426e-92
"IFI27",1.3046920807393e-95,1.62746594581363,0.328,0.091,2.61590762188229e-91
"CYB5A",2.44889963926452e-95,0.597263237574247,0.646,0.347,4.91004377672536e-91
"SLC29A1",5.75708824077758e-95,0.356701848934249,0.299,0.071,1.1542961922759e-90
"CD82",1.10294302943375e-94,0.41567826117669,0.388,0.123,2.21140077401466e-90
"CES1",5.76101236281381e-94,1.30095038622291,0.657,0.418,1.15508297874417e-89
"UCP2",2.47771235407346e-93,0.666676979621728,0.769,0.502,4.9678132699173e-89
"TDP2",2.52605222963717e-93,0.593643371134109,0.494,0.21,5.06473472042252e-89
"SLC2A5",9.50148246595411e-93,0.257622550180123,0.124,0.002,1.9050472344238e-88
"LAMP1",1.12620407350821e-92,0.647230501755885,0.894,0.732,2.25803916738396e-88
"CAMP",1.56707368815629e-90,0.686616509554548,0.209,0.032,3.14198274475336e-86
"FARP1",1.59353707622135e-90,0.350614027291175,0.299,0.075,3.19504183782382e-86
"GM2A",1.67311607898742e-90,0.708458377128076,0.737,0.469,3.35459773836979e-86
"RND3",2.98425624739249e-90,0.37486601084914,0.132,0.005,5.98343377602194e-86
"CD163",3.52844506755001e-90,0.745286811182678,0.701,0.412,7.07453236043777e-86
"FOLR2",4.59952728252925e-90,0.671791685300201,0.252,0.054,9.22205220147115e-86
"CCL4",5.02003615347757e-89,1.84627462219826,0.167,0.017,1.00651724877225e-84
"RAB20",1.64101919290855e-87,0.568190271491817,0.438,0.171,3.29024348178164e-83
"SLC1A3",2.26949180566856e-87,0.441907945862844,0.343,0.105,4.55033107036546e-83
"MFAP5",7.61465094725063e-87,0.283978736308053,0.138,0.008,1.52673751492375e-82
"C3",4.87298944134604e-85,0.342808650837494,0.19,0.028,9.77034382989881e-81
"GBP2",7.81013606599497e-84,0.504676323017735,0.479,0.201,1.56593228123199e-79
"SLC47A1",1.4438046668354e-83,0.203902123819711,0.163,0.018,2.89482835700497e-79
"PRDX1",3.33498623883879e-82,0.501427895131479,0.968,0.923,6.68664740887177e-78
"HTRA4",4.97243576149076e-82,0.310010086963446,0.207,0.037,9.96973370178897e-78
"OLFML2B",7.13401820471713e-82,0.376295150643021,0.163,0.019,1.43037065004578e-77
"TNFAIP6",1.1595128596914e-81,0.51137725384575,0.129,0.008,2.32482328368126e-77
"MDK",3.13171244819362e-80,0.20491673327018,0.149,0.014,6.27908345862821e-76
"MLPH",3.79642959222685e-80,0.290730843258987,0.265,0.065,7.61184133241483e-76
"MT-ND4L",9.08761758871173e-80,0.640279202746669,0.821,0.589,1.8220673265367e-75
"CPE",1.20301529085779e-79,0.215612293387043,0.171,0.023,2.41204565816986e-75
"PLAUR",1.16196679835198e-78,0.750136798839034,0.862,0.662,2.32974343069572e-74
"ITGB5",2.30423179238481e-78,0.346575071037555,0.316,0.096,4.61998474373153e-74
"CD36",2.88195318889735e-78,0.985453272883619,0.61,0.345,5.77831614373918e-74
"MT2A",4.67812982125459e-78,0.563318267663788,0.492,0.218,9.37965029161545e-74
"PIK3IP1",1.93377022059028e-77,0.248823182928877,0.178,0.027,3.87720929228352e-73
"FDX1",3.97810178994358e-77,0.736686556655838,0.618,0.372,7.97609408883688e-73
"LGALS3",2.00849400754463e-76,0.513114151510363,0.989,0.96,4.02703048512698e-72
"ALDH1A1",4.66878141050595e-76,0.572882815287242,0.607,0.322,9.36090672806443e-72
"PNRC1",8.17709935500238e-76,0.615826007031617,0.731,0.465,1.63950842067798e-71
"EPHX1",1.86497798933247e-74,0.376938690381552,0.389,0.149,3.73928086861161e-70
"CD48",9.16945569444984e-73,0.489049508880651,0.465,0.202,1.83847586673719e-68
"CD81",1.05172225991801e-72,0.449883299964113,0.956,0.928,2.10870313113562e-68
"CALM3",1.54874031277117e-72,0.605245238640892,0.706,0.459,3.1052243271062e-68
"NPC2",3.6881976575719e-72,0.457199774067071,0.971,0.935,7.39483630343167e-68
"CAPG",4.58808649902918e-72,0.521265814522403,0.957,0.939,9.19911343055351e-68
"TGM2",2.77968135887189e-69,0.568635975187108,0.4,0.165,5.57326112453814e-65
"DST",1.73016783403591e-68,0.500780485108102,0.618,0.343,3.468986507242e-64
"GSDME",3.72613125981417e-68,0.302295674358185,0.21,0.048,7.47089317592742e-64
"SLC29A3",1.3105674371984e-67,0.397215695953425,0.357,0.134,2.62768771158279e-63
"B4GALT5",3.54682017440838e-67,0.421741144643925,0.357,0.135,7.1113744496888e-63
"JAKMIP2",8.25923540832211e-67,0.45538248685554,0.301,0.102,1.65597669936858e-62
"ELL2",3.9976617593377e-66,0.362306077839211,0.379,0.148,8.0153118274721e-62
"FNIP2",7.95716877741991e-66,0.734509176057815,0.522,0.277,1.59541233987269e-61
"ITGA6",1.15810251903619e-65,0.229247892964825,0.15,0.022,2.32199555066757e-61
"TRIM47",1.48799086439237e-65,0.236120709518777,0.188,0.038,2.98342168310671e-61
"TSTD1",2.09432450858044e-65,0.376272488125227,0.49,0.228,4.19912063970379e-61
"MPP1",1.75764528791131e-64,0.534182000916102,0.682,0.435,3.52407880226217e-60
"KMO",1.33308089270521e-63,0.305225974150367,0.293,0.096,2.67282718987394e-59
"KCNMA1",2.68698715225714e-63,0.386325449967826,0.433,0.187,5.38740924027558e-59
"SDSL",3.72001417159566e-63,0.50865823050132,0.468,0.228,7.45862841404929e-59
"LHFPL2",4.11766915265839e-63,0.525764256519248,0.7,0.436,8.25592665108008e-59
"PLEK",4.82376484400783e-63,0.621714243687435,0.697,0.455,9.67164851223569e-59
"USP30-AS1",7.34481247008454e-63,0.242468045749578,0.207,0.049,1.47263490025195e-58
"AC026369.3",1.92341039444917e-62,0.433212009213057,0.414,0.181,3.85643784087059e-58
"DHRS3",4.01713427362813e-62,0.389686981141621,0.421,0.184,8.05435421862441e-58
"FMNL2",6.64974904178863e-62,0.377039842012323,0.482,0.23,1.33327468287862e-57
"TSPAN3",2.94812523623058e-61,0.380200331876294,0.424,0.189,5.91099109864231e-57
"BLOC1S2",3.02950588878616e-61,0.509452961898171,0.661,0.438,6.07415930701626e-57
"MYO6",3.56149461402181e-60,0.201799736109221,0.193,0.045,7.14079670111372e-56
"SOD1",5.310436001331e-60,0.477211257847674,0.75,0.558,1.06474241826687e-55
"SDCBP",5.60099182146149e-60,0.423793609503253,0.952,0.866,1.12299886020303e-55
"NAMPT",7.4741671695275e-60,0.879145928933953,0.573,0.333,1.49857051749026e-55
"DNAJC5B",8.49741232464114e-60,0.313634017701133,0.224,0.063,1.70373117109055e-55
"NABP1",6.67676986890298e-59,0.461621618881657,0.498,0.253,1.33869235871505e-54
"TMEM140",8.28789292237924e-59,0.250601031104397,0.232,0.066,1.66172253093704e-54
"SUSD1",2.45285209242867e-58,0.328395895961411,0.296,0.105,4.91796844531948e-54
"CD300A",2.84799215489599e-58,0.331773685465357,0.376,0.157,5.71022427056645e-54
"FCHO2",8.32086838224741e-58,0.39687444389711,0.481,0.237,1.66833411064061e-53
"AKR1C3",1.66959845138288e-57,0.415710531906845,0.293,0.106,3.34754489502266e-53
"C1QB",3.71535734697627e-56,0.713884477512072,0.848,0.753,7.44929148068742e-52
"ABCG1",4.81730819006611e-56,0.40173122231508,0.557,0.306,9.65870292108255e-52
"AOAH",2.54308558796901e-54,0.34483328926721,0.313,0.122,5.09888660387786e-50
"P2RX7",3.18634328273872e-53,0.406951555413258,0.43,0.204,6.38861828189114e-49
"ACOT13",4.5672196213914e-52,0.360383256202868,0.479,0.248,9.15727534088975e-48
"RALA",1.72331251826539e-50,0.580282465639072,0.557,0.333,3.45524159912211e-46
"CCL23",4.12446055655472e-50,0.48195389666287,0.301,0.121,8.26954341589221e-46
"CHIT1",9.97850707767685e-50,0.5286587780724,0.11,0.016,2.00069066907421e-45
"HLA-DQA1",3.49809149133586e-49,0.472789108936816,0.909,0.866,7.0136734401284e-45
"ME1",9.46774732290533e-49,0.229235484927111,0.207,0.063,1.89828333824252e-44
"IL32",1.61978361860291e-48,0.243388781956282,0.115,0.018,3.24766615529883e-44
"RASSF4",2.64844499020819e-48,0.391113845039326,0.468,0.251,5.31013220536743e-44
"EVA1B",3.0426496786122e-48,0.262023413497493,0.374,0.166,6.10051260561745e-44
"BIRC7",2.7724720370173e-47,0.207889323530974,0.132,0.026,5.55880643421968e-43
"LY86",5.92958561344906e-47,0.397789503016498,0.652,0.437,1.18888191549654e-42
"PSD3",6.27511321615432e-47,0.257578506432127,0.305,0.124,1.25816019983894e-42
"CCRL2",7.28446755568477e-47,0.318678941477982,0.321,0.139,1.4605357449148e-42
"CTSA",7.87438771129451e-47,0.410417790564708,0.787,0.598,1.57881473611455e-42
"CR1",1.03169383666644e-46,0.307286845647445,0.271,0.106,2.06854614251622e-42
"TFRC",5.35292893627843e-46,0.693830464315817,0.648,0.44,1.07326225172383e-41
"DCXR",8.32650625686925e-46,0.406451740340599,0.516,0.296,1.66946450450228e-41
"C1orf54",4.19062583492859e-45,0.223906708553377,0.308,0.129,8.40220479903183e-41
"ACSL1",7.27319327115738e-45,0.466315505414821,0.529,0.306,1.45827525086706e-40
"CMKLR1",8.85119339915423e-45,0.3400567717881,0.28,0.115,1.77466427653042e-40
"SNN",1.89905587294501e-44,0.265854789869745,0.262,0.1,3.80760702525474e-40
"TBC1D2",2.5138394578064e-44,0.328916263501838,0.428,0.222,5.04024811290183e-40
"TIMP2",5.80751092550854e-44,0.37877973389072,0.871,0.776,1.16440594056446e-39
"TPCN1",5.97800040344765e-44,0.223713524284811,0.136,0.031,1.19858908089125e-39
"MT-ATP8",6.0861191078234e-44,0.308111703825038,0.343,0.155,1.22026688111859e-39
"SCARB1",7.49877333560008e-44,0.212411159750607,0.198,0.063,1.50350405378782e-39
"PLEKHM2",8.80668766775362e-44,0.367761653647254,0.49,0.273,1.7657408773846e-39
"VMO1",1.34585498519368e-43,0.427781763771766,0.404,0.21,2.69843924531334e-39
"PPIC",1.50611878029975e-43,0.208755179843441,0.266,0.105,3.019768154501e-39
"C15orf48",2.52373704928328e-43,1.00383525721764,0.566,0.379,5.06009278381298e-39
"FAM20C",6.3547165408762e-43,0.461390678717608,0.414,0.226,1.27412066644568e-38
"TTYH3",1.27239777093635e-42,0.365543593557809,0.367,0.181,2.55115753072739e-38
"TSC22D1",1.36025071646611e-42,0.259693858727374,0.212,0.073,2.72730268651455e-38
"CTSK",1.71614684534111e-42,0.352114809512598,0.162,0.045,3.44087442490892e-38
"SRGN",1.73455619250531e-42,0.565646568687192,0.963,0.932,3.47778516597314e-38
"DHRS9",2.1251279328623e-42,0.254970999681699,0.221,0.078,4.26088150538891e-38
"STOM",7.3581364995495e-42,0.355420613762591,0.61,0.387,1.47530636815967e-37
"P4HA1",1.11534953866352e-41,0.271038368123867,0.358,0.172,2.23627582502035e-37
"EEPD1",1.39966598560363e-41,0.271161459676889,0.207,0.073,2.80633030113527e-37
"GPX3",1.49578591214414e-41,0.36569604724372,0.303,0.139,2.999050753849e-37
"MMP9",1.53028390367489e-41,0.880422065807797,0.144,0.038,3.06821922686816e-37
"CXCL5",1.67239002967804e-41,0.578572528557824,0.167,0.048,3.35314200950447e-37
"RNF144B",1.72551290648544e-41,0.256717356435492,0.243,0.093,3.45965337750331e-37
"SLC7A8",4.18890918705424e-41,0.207243893419847,0.215,0.076,8.39876292004375e-37
"NMB",7.64386142787666e-41,0.510586582287419,0.337,0.162,1.53259421628927e-36
"RHOQ",8.23360867015299e-41,0.376934389774751,0.596,0.378,1.65083853836567e-36
"ARRDC3",1.85083804006619e-40,0.253317376288406,0.204,0.071,3.71093027033271e-36
"GNS",4.3272074702423e-40,0.407328623775239,0.701,0.502,8.67605097783582e-36
"HSD17B14",4.90025594786827e-40,0.202197074979665,0.288,0.122,9.82501317547588e-36
"DDHD1",8.77552583284083e-40,0.369642245770874,0.481,0.281,1.75949292948459e-35
"RNASET2",1.09902507413458e-39,0.394739449833754,0.792,0.671,2.20354527363982e-35
"RGL1",1.31017572379811e-39,0.271823712436376,0.162,0.048,2.62690232621521e-35
"GNPTAB",1.31238372767772e-39,0.335249154597764,0.523,0.315,2.63132937399382e-35
"FXYD6",2.63012320523832e-39,0.247359877323102,0.221,0.083,5.27339702650283e-35
"SELENOW",5.79483237428218e-39,0.341988708980793,0.696,0.499,1.16186389104358e-34
"TPST2",6.35065340178111e-39,0.264962660866857,0.435,0.233,1.27330600705711e-34
"TREM1",6.74118282688089e-39,0.554095350362505,0.658,0.511,1.35160715678962e-34
"PFKFB3",7.5831008746988e-39,0.284769668613982,0.203,0.073,1.52041172537711e-34
"FAIM",1.69225071984019e-38,0.226395271521952,0.207,0.075,3.39296269327958e-34
"JPT1",1.81486568619478e-38,0.398951170868467,0.694,0.539,3.63880570082053e-34
"BCAT1",6.26917093586956e-38,0.445832789020323,0.482,0.292,1.25696877264185e-33
"BCL2L1",8.64822245219492e-38,0.277327758616667,0.401,0.211,1.73396860166508e-33
"SOAT1",1.63820793388573e-37,0.372859981381917,0.552,0.345,3.2846069074409e-33
"KANSL1-AS1",2.69270167556803e-37,0.210757930183185,0.28,0.121,5.3988668595139e-33
"GSTP1",2.81021113847319e-37,0.295284275738675,0.925,0.913,5.63447333263875e-33
"HP",4.41182283133144e-37,0.275829993607534,0.151,0.044,8.84570477681953e-33
"ICAM1",1.34225525124494e-36,0.383714436884899,0.362,0.193,2.6912217787461e-32
"MT-ND4",2.62905341063808e-36,0.25138028049317,0.988,0.984,5.27125208832935e-32
"TNFAIP2",3.78117114838884e-36,0.381219960918118,0.583,0.39,7.58124815251962e-32
"GPR137B",4.28412537717079e-36,0.331215232443036,0.504,0.305,8.58967138122744e-32
"SEMA3C",5.43693272813438e-36,0.237941731118734,0.288,0.131,1.09010501199094e-31
"CHCHD6",8.7670965442006e-36,0.216658003768848,0.159,0.05,1.75780285711222e-31
"MFHAS1",1.15483253800627e-35,0.231734819603178,0.271,0.118,2.31543923870256e-31
"RBP1",1.21498076716005e-35,0.226317109189456,0.124,0.031,2.4360364381559e-31
"MS4A4A",1.73749074640734e-35,0.35952564146845,0.773,0.577,3.48366894654672e-31
"SLC35F6",1.90607113641891e-35,0.283861109900899,0.457,0.258,3.82167262851992e-31
"POLR2L",2.88155109442636e-35,0.33696610379383,0.763,0.598,5.77750994432485e-31
"SPIRE1",3.11109917371283e-35,0.230771107840228,0.271,0.121,6.23775384329423e-31
"HLA-B",4.14628304096347e-35,0.270066955244418,0.998,0.991,8.31329749713176e-31
"DUSP10",5.47488422330647e-35,0.213968338423791,0.218,0.086,1.09771428677295e-30
"SDC2",7.3419006179836e-35,0.324300550970059,0.325,0.161,1.47205107390571e-30
"C3AR1",1.80094782517934e-34,0.291748394091625,0.629,0.407,3.61090038948458e-30
"HMOX1",1.35154581920042e-33,0.341411182502685,0.637,0.453,2.70984936749683e-29
"NPC1",2.37280048978692e-33,0.295004664326283,0.387,0.213,4.75746498202278e-29
"SMIM3",2.69385682342837e-33,0.204726607398614,0.137,0.041,5.40118293097387e-29
"NAGK",2.78783388049487e-33,0.385787879369925,0.766,0.637,5.58960693039222e-29
"A2M",2.83724035284596e-33,0.409811202750206,0.454,0.267,5.68866690745616e-29
"SLC16A10",4.83387354670069e-33,0.401471535103248,0.135,0.04,9.69191646113487e-29
