"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SPP1",4.80926951880225e-307,4.43083898192245,0.716,0.127,9.64258538519852e-303
"SDS",2.54914133823513e-254,1.94223202565904,0.467,0.042,5.11102838316143e-250
"ADAMDEC1",6.22171832112912e-248,1.00893967260636,0.339,0.013,1.24745452338639e-243
"SLAMF7",1.94521152612293e-181,1.1184406674743,0.47,0.074,3.90014910987647e-177
"MARCKS",8.73891854758065e-181,1.70896586741823,0.771,0.284,1.75215316878992e-176
"SELENOP",7.3669273916555e-178,2.0216661716513,0.353,0.035,1.47706894202693e-173
"ABCA1",1.28641198277083e-177,1.4571821327301,0.716,0.235,2.57925602545552e-173
"IL4I1",1.6955481121134e-172,1.53087683377313,0.64,0.179,3.39957396478737e-168
"SOD2",6.96515025482775e-167,1.95355652487122,0.848,0.427,1.39651262609296e-162
"OLFML2B",1.90491409856124e-166,0.710367017356465,0.301,0.024,3.81935276761529e-162
"CTSB",6.51607514425604e-162,1.39247141337984,0.985,0.943,1.30647306642334e-157
"PLTP",1.34347255556562e-146,1.77185463680713,0.588,0.173,2.69366247390906e-142
"LGMN",8.3141545628904e-146,1.88840824192279,0.767,0.372,1.66698798985953e-141
"PSAP",6.97665151888586e-144,1.15745458523095,0.989,0.951,1.39881862953661e-139
"ATF5",1.34280357950755e-140,1.38118295511332,0.622,0.208,2.69232117691264e-136
"HS3ST2",5.29663066444205e-137,0.857374088427125,0.292,0.032,1.06197444822063e-132
"SLC2A5",1.61774010188678e-131,0.42331239457494,0.206,0.011,3.243568904283e-127
"CTSL",2.84765241199894e-125,1.69186080663545,0.914,0.733,5.70954308605788e-121
"MMP9",2.9120641228018e-120,1.58635373375326,0.284,0.036,5.8386885662176e-116
"NINJ1",2.46519516729963e-119,1.08322867273429,0.637,0.245,4.94271631043576e-115
"GPNMB",6.80358999371806e-111,1.61260733712599,0.856,0.78,1.36411979374047e-106
"MGLL",7.83221166374847e-105,1.11859346834644,0.614,0.246,1.57035843858157e-100
"RARRES1",5.35680114921629e-104,1.13710860021592,0.408,0.1,1.07403863041787e-99
"PLA2G2D",7.40050926827161e-104,0.589527779487888,0.146,0.006,1.48380210828846e-99
