"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043312","GO:0043312","neutrophil degranulation","29/230","487/18866",1.76244812289268e-12,3.50152457349472e-09,2.84479303522912e-09,"FGR/HEXB/CYBB/GSN/ITGAX/CSTB/SLC2A3/ITGAM/S100A9/LTA4H/ASAH1/NPC2/IDH1/FCN1/RHOA/RAP2B/GM2A/GDI2/FUCA1/COTL1/ATP6V0A1/IQGAP2/EEF2/CD44/TCIRG1/TMEM30A/CLEC12A/FOLR3/HSPA1A",29
"GO:0002283","GO:0002283","neutrophil activation involved in immune response","29/230","490/18866",2.05127391534547e-12,3.50152457349472e-09,2.84479303522912e-09,"FGR/HEXB/CYBB/GSN/ITGAX/CSTB/SLC2A3/ITGAM/S100A9/LTA4H/ASAH1/NPC2/IDH1/FCN1/RHOA/RAP2B/GM2A/GDI2/FUCA1/COTL1/ATP6V0A1/IQGAP2/EEF2/CD44/TCIRG1/TMEM30A/CLEC12A/FOLR3/HSPA1A",29
"GO:0006413","GO:0006413","translational initiation","16/230","192/18866",1.81558133252344e-09,2.06613155641167e-06,1.6786164249822e-06,"RPS8/RPL39/PABPC1/RPS26/EIF1/RPL34/RPL7/RPS3A/RPS13/RPS28/NPM1/RPS9/EIF3L/RPL26/RPS19/ATF4",16
"GO:0006613","GO:0006613","cotranslational protein targeting to membrane","12/230","109/18866",8.94843537073708e-09,6.65233966776749e-06,5.40465421779279e-06,"RPS8/RPL39/RPS26/RPL34/RPL7/RPS3A/RPS13/RPS28/ARL6IP1/RPS9/RPL26/RPS19",12
"GO:0033572","GO:0033572","transferrin transport","8/230","36/18866",9.7427353072166e-09,6.65233966776749e-06,5.40465421779279e-06,"ATP6V0D2/ATP6V1F/ATP6AP1/ATP6V1B2/ATP6V1A/ATP6V0A1/TCIRG1/TFRC",8
"GO:0000184","GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","12/230","120/18866",2.67611293738473e-08,1.0752092822252e-05,8.73547454340762e-06,"RPS8/RPL39/PABPC1/RPS26/RPL34/RPL7/RPS3A/RPS13/RPS28/RPS9/RPL26/RPS19",12
"GO:0045047","GO:0045047","protein targeting to ER","12/230","120/18866",2.67611293738473e-08,1.0752092822252e-05,8.73547454340762e-06,"RPS8/RPL39/RPS26/RPL34/RPL7/RPS3A/RPS13/RPS28/RPS9/RPL26/HSPA5/RPS19",12
"GO:0045851","GO:0045851","pH reduction","9/230","58/18866",3.22419915758802e-08,1.0752092822252e-05,8.73547454340762e-06,"ATP6V0D2/ATP6V1F/ATP6AP1/ATP6V1B2/SLAMF8/ATP6V1A/CA2/ATP6V0A1/TCIRG1",9
"GO:0090383","GO:0090383","phagosome acidification","7/230","28/18866",3.4786899168415e-08,1.0752092822252e-05,8.73547454340762e-06,"ATP6V0D2/ATP6V1F/ATP6V1B2/SLAMF8/ATP6V1A/ATP6V0A1/TCIRG1",7
"GO:0045454","GO:0045454","cell redox homeostasis","9/230","59/18866",3.76455179301747e-08,1.0752092822252e-05,8.73547454340762e-06,"PRDX1/NCF1/CYBB/TXN/RAC2/TXNRD1/GSR/NFE2L2/TXNL1",9
"GO:0072599","GO:0072599","establishment of protein localization to endoplasmic reticulum","12/230","124/18866",3.87273656889898e-08,1.0752092822252e-05,8.73547454340762e-06,"RPS8/RPL39/RPS26/RPL34/RPL7/RPS3A/RPS13/RPS28/RPS9/RPL26/HSPA5/RPS19",12
"GO:0048771","GO:0048771","tissue remodeling","14/230","178/18866",4.01301140274038e-08,1.0752092822252e-05,8.73547454340762e-06,"LIPA/ACP5/ATP6AP1/RAC2/DCSTAMP/MDM2/TPP1/ACE/CA2/TCIRG1/UBASH3B/TGM2/GPNMB/TFRC",14
"GO:0021762","GO:0021762","substantia nigra development","8/230","43/18866",4.33819790878213e-08,1.0752092822252e-05,8.73547454340762e-06,"BASP1/ACTB/CALM2/RHOA/G6PD/ATP5PB/GNB4/HSPA5",8
"GO:0070972","GO:0070972","protein localization to endoplasmic reticulum","13/230","152/18866",4.5985002477201e-08,1.0752092822252e-05,8.73547454340762e-06,"RPS8/RPL39/RPS26/RPL34/RPL7/RPS3A/RPS13/BCAP31/RPS28/RPS9/RPL26/HSPA5/RPS19",13
"GO:0006612","GO:0006612","protein targeting to membrane","15/230","210/18866",4.72411811171e-08,1.0752092822252e-05,8.73547454340762e-06,"RPS8/NCF1/RPL39/ITGAM/RPS26/RPL34/RPL7/RPS3A/RPS13/RPS28/ARL6IP1/RPS9/RPL26/HSPA5/RPS19",15
"GO:0006614","GO:0006614","SRP-dependent cotranslational protein targeting to membrane","11/230","105/18866",6.34472879022604e-08,1.35380650561448e-05,1.09989212909511e-05,"RPS8/RPL39/RPS26/RPL34/RPL7/RPS3A/RPS13/RPS28/RPS9/RPL26/RPS19",11
"GO:0045453","GO:0045453","bone resorption","9/230","64/18866",7.82623039341647e-08,1.57169120959552e-05,1.27691127471532e-05,"ACP5/ATP6AP1/RAC2/DCSTAMP/TPP1/CA2/TCIRG1/UBASH3B/TFRC",9
"GO:0090382","GO:0090382","phagosome maturation","8/230","48/18866",1.07125397070996e-07,2.03181169777989e-05,1.65073345778991e-05,"ATP6V0D2/ATP6V1F/ATP6V1B2/SLAMF8/ATP6V1A/ATP6V0A1/RAB32/TCIRG1",8
"GO:0006402","GO:0006402","mRNA catabolic process","19/230","376/18866",1.93156267390955e-07,3.47071314143536e-05,2.81976046856048e-05,"RPS8/RPL39/PABPC1/RPS26/RPL34/RPL7/RPS3A/YBX3/RPS13/TOB1/RPS28/SET/NPM1/RPS9/YWHAZ/RPL26/PSMA1/RPS19/HSPA1A",19
"GO:0051452","GO:0051452","intracellular pH reduction","8/230","55/18866",3.21208432647964e-07,5.32076123326245e-05,4.32282115427082e-05,"ATP6V0D2/ATP6V1F/ATP6V1B2/SLAMF8/ATP6V1A/CA2/ATP6V0A1/TCIRG1",8
"GO:0030316","GO:0030316","osteoclast differentiation","10/230","98/18866",3.27287597828095e-07,5.32076123326245e-05,4.32282115427082e-05,"CSF1/TREM2/FAM20C/ATP6AP1/DCSTAMP/CCR1/CA2/TCIRG1/UBASH3B/TFRC",10
"GO:0006605","GO:0006605","protein targeting","20/230","444/18866",5.68827978442713e-07,8.82717599274282e-05,7.17158719232798e-05,"RPS8/NCF1/RPL39/ITGAM/RPS26/RAC2/RPL34/RPL7/RPS3A/IDH1/RPS13/M6PR/RPS28/NCOA4/ARL6IP1/RPS9/YWHAZ/RPL26/HSPA5/RPS19",20
"GO:0048857","GO:0048857","neural nucleus development","8/230","62/18866",8.28932065374268e-07,0.000123042350921207,9.99650339707642e-05,"BASP1/ACTB/CALM2/RHOA/G6PD/ATP5PB/GNB4/HSPA5",8
"GO:0006401","GO:0006401","RNA catabolic process","19/230","415/18866",8.65248803723061e-07,0.000123081642329605,9.999695604431e-05,"RPS8/RPL39/PABPC1/RPS26/RPL34/RPL7/RPS3A/YBX3/RPS13/TOB1/RPS28/SET/NPM1/RPS9/YWHAZ/RPL26/PSMA1/RPS19/HSPA1A",19
"GO:0046849","GO:0046849","bone remodeling","9/230","91/18866",1.674910660418e-06,0.000228725799786682,0.000185826930113744,"ACP5/ATP6AP1/RAC2/DCSTAMP/TPP1/CA2/TCIRG1/UBASH3B/TFRC",9
