"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043312","GO:0043312","neutrophil degranulation","70/526","487/18866",3.12762325540041e-30,1.07220563702677e-26,7.63440057002573e-27,"CTSB/PSAP/SLC2A5/MMP9/CSTB/ADAM8/CHIT1/NPC2/CD63/TNFRSF1B/CTSZ/CTSD/CD36/FABP5/LAMP1/AMPD3/FTL/CD59/GM2A/CD300A/CHI3L1/C3/LPCAT1/PLAUR/GNS/CFD/CD68/CD14/CREG1/CR1/RAP2B/PTPRJ/CTSA/SLC2A3/CYFIP1/CTSH/SDCBP/PKM/HPSE/ITGB2/LGALS3/C3AR1/ITGAV/PLEKHO2/IQGAP2/TIMP2/B4GALT1/RNASET2/HSPA1A/ADA2/STK10/LAIR1/PRCP/DDX3X/ATP6V0A1/GLA/NFKB1/IGF2R/UBR4/CYSTM1/MIF/MLEC/TLR2/ITGAX/LILRB2/C5AR1/PLAU/CD93/HSPA6/HSPA1B",70
"GO:0002283","GO:0002283","neutrophil activation involved in immune response","70/526","490/18866",4.6166012358526e-30,1.07220563702677e-26,7.63440057002573e-27,"CTSB/PSAP/SLC2A5/MMP9/CSTB/ADAM8/CHIT1/NPC2/CD63/TNFRSF1B/CTSZ/CTSD/CD36/FABP5/LAMP1/AMPD3/FTL/CD59/GM2A/CD300A/CHI3L1/C3/LPCAT1/PLAUR/GNS/CFD/CD68/CD14/CREG1/CR1/RAP2B/PTPRJ/CTSA/SLC2A3/CYFIP1/CTSH/SDCBP/PKM/HPSE/ITGB2/LGALS3/C3AR1/ITGAV/PLEKHO2/IQGAP2/TIMP2/B4GALT1/RNASET2/HSPA1A/ADA2/STK10/LAIR1/PRCP/DDX3X/ATP6V0A1/GLA/NFKB1/IGF2R/UBR4/CYSTM1/MIF/MLEC/TLR2/ITGAX/LILRB2/C5AR1/PLAU/CD93/HSPA6/HSPA1B",70
"GO:0001819","GO:0001819","positive regulation of cytokine production","41/526","447/18866",2.36898953655942e-11,3.66798546577283e-08,2.61170706100691e-08,"HIF1A/ADAM8/CD36/CCL3/LY9/SPHK1/IL10/C3/HLA-A/CD14/IL1R1/GAPDH/BCL3/PTPRJ/IL6R/NFKB2/P2RX7/CD4/TNFRSF14/LILRB1/HAVCR2/HPSE/IRAK1/C3AR1/CD83/POU2F2/HSPA1A/POLR2L/DDX3X/STAT1/PIK3R1/NFKB1/MIF/TLR2/STAT3/LILRB2/C5AR1/MALT1/IL1B/CLEC4E/HSPA1B",41
"GO:0002685","GO:0002685","regulation of leukocyte migration","27/526","212/18866",4.76650093902015e-11,5.53509921543715e-08,3.94114367115824e-08,"LGMN/ADAM8/PLA2G7/CCL3/ECM1/CMKLR1/MPP1/CD300A/VEGFA/ICAM1/CCL2/MMP14/IL1R1/CALR/IL6R/TNFRSF14/P2RX4/CD99/CCL4/LGALS3/C3AR1/STK10/HMOX1/SWAP70/MIF/C5AR1/SLAMF8",27
"GO:1905954","GO:1905954","positive regulation of lipid localization","18/526","94/18866",9.84121619208859e-11,9.1424898424503e-08,6.50970553169312e-08,"SPP1/ABCA1/PLTP/PLIN2/APOE/NR1H3/CD36/C3/EEPD1/SCARB1/DBI/NFKBIA/P2RX7/P2RX4/EHD1/NFKB1/MIF/IL1B",18
"GO:0051235","GO:0051235","maintenance of location","33/526","324/18866",1.49348131587786e-10,1.1020140415569e-07,7.84664465145722e-08,"ABCA1/PLIN2/APOE/NR1H3/SCIN/TPCN1/CD36/CCL3/FTL/IL10/CALM3/GM2A/C3/MYO5A/BCL3/SOAT1/CALR/SCARB1/NFKBIA/ERO1A/ANXA6/P2RX7/CD4/HK2/HSPA5/SRGN/ITGAV/ITPR1/EHD1/OSBPL8/CCR5/NFKB1/IL1B",33
"GO:0071222","GO:0071222","cellular response to lipopolysaccharide","26/526","208/18866",1.66073160191568e-10,1.1020140415569e-07,7.84664465145722e-08,"ABCA1/HAMP/TNFRSF1B/NR1H3/CD36/CCL3/IL10/ICAM1/CCL2/CD68/CD14/ADAM9/SCARB1/NFKBIA/LILRB1/HAVCR2/IRAK1/LITAF/CCR5/NFKB1/MIF/TLR2/LILRB2/MALT1/IL1B/ZFP36",26
"GO:0032496","GO:0032496","response to lipopolysaccharide","33/526","334/18866",3.31146713269439e-10,1.92272060392068e-07,1.36903022775339e-07,"ABCA1/HAMP/ADM/TNFRSF1B/NR1H3/CD36/CCL3/IL10/ICAM1/CCL2/CD68/CD14/SPARC/ADAM9/SCARB1/NFKBIA/NFKB2/IFNAR1/P2RX7/LILRB1/HAVCR2/DUSP10/IRAK1/LITAF/CCR5/NFKB1/MIF/TLR2/LILRB2/C5AR1/MALT1/IL1B/ZFP36",33
"GO:0071219","GO:0071219","cellular response to molecule of bacterial origin","26/526","222/18866",6.99384194632615e-10,3.2486395840685e-07,2.31312119951124e-07,"ABCA1/HAMP/TNFRSF1B/NR1H3/CD36/CCL3/IL10/ICAM1/CCL2/CD68/CD14/ADAM9/SCARB1/NFKBIA/LILRB1/HAVCR2/IRAK1/LITAF/CCR5/NFKB1/MIF/TLR2/LILRB2/MALT1/IL1B/ZFP36",26
"GO:0097529","GO:0097529","myeloid leukocyte migration","26/526","222/18866",6.99384194632615e-10,3.2486395840685e-07,2.31312119951124e-07,"LGMN/ADAM8/PLA2G7/CCL3/CCL18/CMKLR1/MPP1/CD300A/VEGFA/CCL2/MMP14/IL1R1/IL6R/P2RX4/CD99/CSF3R/CCL4/ITGB2/LGALS3/C3AR1/ADGRE2/SWAP70/MIF/C5AR1/IL1B/SLAMF8",26
