"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016209","GO:0016209","antioxidant activity","13/305","86/18352",1.6796603663127e-09,1.04810806857912e-06,8.55742755047731e-07,"6648/348/3240/6647/5052/2878/2950/10549/6415/4259/7295/9446/4257",13
"GO:0008009","GO:0008009","chemokine activity","9/305","49/18352",9.85661167816436e-08,3.07526284358728e-05,2.51084213275345e-05,"6362/6368/6374/6351/6364/6348/3627/2920/2921",9
"GO:0042379","GO:0042379","chemokine receptor binding","10/305","70/18352",2.28057228252472e-07,4.74359034765142e-05,3.87297187628759e-05,"6362/6368/6374/6351/6364/6348/3627/9034/2920/2921",10
"GO:0033218","GO:0033218","amide binding","21/305","381/18352",1.7517165730029e-06,0.000273267785388453,0.000223113374035107,"4311/5360/5660/5480/3105/348/29953/712/3106/2950/8685/4481/3117/3123/11332/4043/3134/9445/6727/929/4257",21
"GO:0042277","GO:0042277","peptide binding","18/305","308/18352",4.34183113223314e-06,0.000541860525302695,0.000442409740631755,"4311/5480/3105/348/29953/712/3106/2950/8685/4481/3117/3123/4043/3134/9445/6727/929/4257",18
"GO:0061134","GO:0061134","peptidase regulator activity","15/305","229/18352",7.10342644334918e-06,0.000738756350108315,0.00060316814010193,"710/26577/5918/80760/1476/334/79444/3730/1075/7077/23198/5265/5037/5269/5721",15
"GO:0016614","GO:0016614","oxidoreductase activity, acting on CH-OH group of donors","11/305","130/18352",1.12211982132675e-05,0.00100028966929699,0.000816700742138566,"231/8644/55349/4199/2819/3945/3248/51171/51181/9249/224",11
"GO:0043394","GO:0043394","proteoglycan binding","6/305","36/18352",2.56744725827648e-05,0.00200260886145566,0.00163505851711292,"1514/348/10457/1508/6386/1513",6
"GO:0031406","GO:0031406","carboxylic acid binding","13/305","212/18352",5.75129355608293e-05,0.0039875635322175,0.00325570301888203,"2167/341/8644/5660/7130/2644/2171/2950/6507/5033/23564/2170/2752",13
"GO:0061135","GO:0061135","endopeptidase regulator activity","12/305","192/18352",9.2171563285017e-05,0.00570687692868297,0.00465946092017975,"710/5918/80760/1476/334/79444/3730/7077/5265/5037/5269/5721",12
"GO:0043177","GO:0043177","organic acid binding","13/305","224/18352",0.000100601997140245,0.00570687692868297,0.00465946092017975,"2167/341/8644/5660/7130/2644/2171/2950/6507/5033/23564/2170/2752",13
"GO:0048020","GO:0048020","CCR chemokine receptor binding","6/305","47/18352",0.000121417226839172,0.00589673498520817,0.00481447323353703,"6362/6368/6351/6364/6348/9034",6
"GO:0001664","GO:0001664","G protein-coupled receptor binding","15/305","293/18352",0.00012284864552517,0.00589673498520817,0.00481447323353703,"6362/5660/6368/6374/4828/6351/6364/8685/6348/6386/3627/9034/808/2920/2921",15
"GO:0042605","GO:0042605","peptide antigen binding","5/305","31/18352",0.000146220310582366,0.00651724812881402,0.00532110002420038,"3105/3106/3117/3123/3134",5
"GO:0016616","GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","9/305","120/18352",0.000179155250196218,0.00701576650914144,0.00572812245348255,"231/8644/4199/2819/3945/3248/51171/51181/9249",9
"GO:0045236","GO:0045236","CXCR chemokine receptor binding","4/305","18/18352",0.000190414389015548,0.00701576650914144,0.00572812245348255,"6374/3627/2920/2921",4
"GO:0033293","GO:0033293","monocarboxylic acid binding","7/305","72/18352",0.000191134664511866,0.00701576650914144,0.00572812245348255,"2167/341/8644/5660/2171/2950/2170",7
"GO:0004601","GO:0004601","peroxidase activity","6/305","52/18352",0.00021474536282756,0.0074445059113554,0.00607817284260461,"5052/2878/2950/10549/4259/4257",6
"GO:0004866","GO:0004866","endopeptidase inhibitor activity","11/305","183/18352",0.000252534784669734,0.00825540719138758,0.00674024473790754,"710/5918/80760/1476/334/79444/3730/7077/5265/5037/5269",11
"GO:0016620","GO:0016620","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor","5/305","35/18352",0.000264596384339346,0.00825540719138758,0.00674024473790754,"231/8644/216/224/217",5
"GO:0120020","GO:0120020","cholesterol transfer activity","4/305","20/18352",0.00029368678829472,0.00872669313790025,0.00712503285887942,"5360/348/19/9619",4
"GO:0016684","GO:0016684","oxidoreductase activity, acting on peroxide as acceptor","6/305","56/18352",0.000323976515493413,0.00893737819983559,0.00729704967732865,"5052/2878/2950/10549/4259/4257",6
"GO:0030414","GO:0030414","peptidase inhibitor activity","11/305","189/18352",0.000333192002438628,0.00893737819983559,0.00729704967732865,"710/5918/80760/1476/334/79444/3730/7077/5265/5037/5269",11
"GO:0004602","GO:0004602","glutathione peroxidase activity","4/305","21/18352",0.000358068036852387,0.00893737819983559,0.00729704967732865,"2878/2950/4259/4257",4
"GO:0120015","GO:0120015","sterol transfer activity","4/305","21/18352",0.000358068036852387,0.00893737819983559,0.00729704967732865,"5360/348/19/9619",4
"GO:0005319","GO:0005319","lipid transporter activity","9/305","134/18352",0.000408448664820479,0.00980276795569149,0.00800360946449845,"5950/2167/5360/348/19/2171/9619/2760/2170",9
"GO:0005504","GO:0005504","fatty acid binding","5/305","39/18352",0.000444503296956881,0.0102729650852257,0.00838750860534622,"2167/341/2171/2950/2170",5
"GO:1901681","GO:1901681","sulfur compound binding","13/305","262/18352",0.000464380759704936,0.0103490569305671,0.00844963487583417,"26577/4192/6368/348/10457/334/3730/2950/11332/3627/4043/8828/4257",13
"GO:0048018","GO:0048018","receptor ligand activity","19/305","487/18352",0.000541661647819718,0.0112717580152922,0.00920298731343021,"6362/4192/6368/6374/10457/4828/346389/6351/3958/6364/54097/10135/6348/10512/3627/4043/2920/2921/9518",19
"GO:0008201","GO:0008201","heparin binding","10/305","169/18352",0.000541911443042895,0.0112717580152922,0.00920298731343021,"26577/4192/6368/348/10457/334/3730/3627/4043/8828",10
"GO:0005125","GO:0005125","cytokine activity","12/305","235/18352",0.000591693422752746,0.011585602672497,0.00945923025217369,"6362/6368/6374/6351/6364/54097/10135/6348/3627/2920/2921/9518",12
"GO:0019865","GO:0019865","immunoglobulin binding","4/305","24/18352",0.000611254618115742,0.011585602672497,0.00945923025217369,"3958/2209/2207/2214",4
"GO:0030546","GO:0030546","signaling receptor activator activity","19/305","492/18352",0.000612700141333977,0.011585602672497,0.00945923025217369,"6362/4192/6368/6374/10457/4828/346389/6351/3958/6364/54097/10135/6348/10512/3627/4043/2920/2921/9518",19
"GO:0008525","GO:0008525","phosphatidylcholine transporter activity","3/305","11/18352",0.000679340080868042,0.0121116631560474,0.00988873982376338,"5360/19/9619",3
"GO:0019864","GO:0019864","IgG binding","3/305","11/18352",0.000679340080868042,0.0121116631560474,0.00988873982376338,"2209/2207/2214",3
"GO:0016903","GO:0016903","oxidoreductase activity, acting on the aldehyde or oxo group of donors","5/305","43/18352",0.000703981413847601,0.0121129229704498,0.00988976841716889,"231/8644/216/224/217",5
"GO:0004364","GO:0004364","glutathione transferase activity","4/305","25/18352",0.00071823421459398,0.0121129229704498,0.00988976841716889,"27306/2950/9446/4257",4
"GO:0052650","GO:0052650","NADP-retinol dehydrogenase activity","3/305","12/18352",0.000894677167258053,0.0146915408518164,0.0119951176995262,"231/8644/9249",3
"GO:0008238","GO:0008238","exopeptidase activity","7/305","95/18352",0.00103687133107177,0.0165899412971483,0.0135450937716258,"4311/1363/29953/1522/64174/5476/59342",7
"GO:0004867","GO:0004867","serine-type endopeptidase inhibitor activity","7/305","98/18352",0.0012445708132612,0.0194153046868747,0.0158519019373269,"710/80760/334/3730/5265/5037/5269",7
"GO:0038024","GO:0038024","cargo receptor activity","6/305","73/18352",0.00134239774208496,0.0204306388063662,0.0166808859350224,"3959/19/7037/9332/8685/4481",6
"GO:0016298","GO:0016298","lipase activity","8/305","130/18352",0.00149680418765062,0.022238233645095,0.0181567224767645,"1066/11343/23646/80821/3162/23659/79887/3988",8
"GO:0001540","GO:0001540","amyloid-beta binding","6/305","77/18352",0.00176926823543321,0.0249025504031851,0.0203320418271619,"348/712/8685/4481/4043/9445",6
"GO:0004029","GO:0004029","aldehyde dehydrogenase (NAD+) activity","3/305","15/18352",0.00178321055364666,0.0249025504031851,0.0203320418271619,"216/224/217",3
"GO:0005539","GO:0005539","glycosaminoglycan binding","11/305","232/18352",0.00179585700022969,0.0249025504031851,0.0203320418271619,"26577/4192/6368/348/7130/10457/334/3730/3627/4043/8828",11
"GO:0004857","GO:0004857","enzyme inhibitor activity","15/305","383/18352",0.00196704509828187,0.0266833943766931,0.0217860372441287,"710/341/5918/80760/1476/2644/3958/334/79444/3730/7077/5265/5037/5269/93974",15
"GO:0015248","GO:0015248","sterol transporter activity","4/305","33/18352",0.00209320030830403,0.0270552703586768,0.0220896606842098,"5360/348/19/9619",4
"GO:0051287","GO:0051287","NAD binding","5/305","55/18352",0.00216376942231223,0.0270552703586768,0.0220896606842098,"216/4199/2819/3248/217",5
"GO:0004030","GO:0004030","aldehyde dehydrogenase [NAD(P)+] activity","3/305","16/18352",0.00216789025309911,0.0270552703586768,0.0220896606842098,"216/224/217",3
"GO:0023026","GO:0023026","MHC class II protein complex binding","3/305","16/18352",0.00216789025309911,0.0270552703586768,0.0220896606842098,"975/481/3123",3
"GO:0071813","GO:0071813","lipoprotein particle binding","4/305","34/18352",0.00234164083504903,0.0280996900205883,0.02294239198712,"5360/348/19/4481",4
"GO:0071814","GO:0071814","protein-lipid complex binding","4/305","34/18352",0.00234164083504903,0.0280996900205883,0.02294239198712,"5360/348/19/4481",4
"GO:0005324","GO:0005324","long-chain fatty acid transporter activity","3/305","17/18352",0.00260028327852452,0.0306146559584774,0.0249957717339795,"2167/2171/2170",3
"GO:0005178","GO:0005178","integrin binding","8/305","144/18352",0.00284267847326603,0.0328487290244075,0.0268198124963111,"3696/667/10457/7106/975/8613/3693/7077",8
"GO:0042056","GO:0042056","chemoattractant activity","4/305","37/18352",0.00320731674955904,0.0363884663949971,0.0297098814695995,"10457/3958/6348/3627",4
"GO:0047617","GO:0047617","acyl-CoA hydrolase activity","3/305","20/18352",0.00420175648551047,0.0467320226099866,0.0381550252078838,"55856/122970/11332",3
"GO:0016504","GO:0016504","peptidase activator activity","4/305","40/18352",0.00426879052687378,0.0467320226099866,0.0381550252078838,"26577/1075/23198/5721",4
